	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_321570	0.732781454185943	0.267218545814057	0.656418715544923	0.655165685070032	94.6379940797615	144.454211475979
gene:Smp_321620	1.06503312835571e-08	0.999999989349669	1.29014277531863	1.29025771927852	1715.89989327273	1329.88701796338
gene:Smp_321630	0.64264789230012	0.35735210769988	0.5311670054998	0.530775947883202	335.249474184148	631.630291013944
gene:Smp_321650	0.986849158626355	0.0131508413736445	0.91755635043687	0.917483016403964	543.418084770594	592.293154450246
gene:Smp_321680	0.999999999999878	1.21951013296287e-13	0.101508006462785	0.00209997846465048	0	4.75195359539766
gene:Smp_321690	0.966081416326155	0.0339185836738453	1.8604473516873	2.09249908007165	4.07787094468776	1.94358315022427
gene:Smp_321730	5.5122573172639e-13	0.999999999999449	0.39504593263483	0.39434881326037	180.286872113599	457.191508032832
gene:Smp_321740	1	9.71577648960627e-17	2.66001242785146	90.1188590089728	0.891188590089728	0
gene:Smp_321760	0.973069721050781	0.0269302789492193	1.13914049141885	1.1395609653298	198.66556145146	174.333951307565
gene:Smp_321770	0.999999999996519	3.48124837444505e-12	0.701890933822474	0.700989042675687	122.064427397132	174.135985122923
gene:Smp_321780	0.978291448974682	0.0217085510253184	0.999257963074046	0.999247778818113	38.3485171921571	38.3773930022909
gene:Smp_321790	1	2.82567267959579e-17	0.839913739018222	0.818095362871465	3.15248135431256	3.85566346399085
gene:Smp_321800	1	6.82266144975268e-17	1.06691372430275	1.11494038987067	0.808421108512308	0.724049206529545
gene:Smp_321810	0.720565755935441	0.279434244064559	3.60840968440132	4.99107075650019	4.9507369780709	0.983922390623338
gene:Smp_321830	0.999999999999999	7.54197706838807e-16	1.33791782469581	19.1413406733722	0.181413406733722	0
gene:Smp_321840	1	9.46098313836941e-18	0.876810011464092	0.87535950377681	39.1582562425087	44.7353372854399
gene:Smp_321850	0.976930140081295	0.0230698599187046	0.95067979486221	0.950477313040753	121.965609403644	128.320900411943
gene:Smp_321860	0.912959472835875	0.0870405271641253	0.878041064997377	0.87367754483831	12.8553088431534	14.7154658416731
gene:Smp_321880	1	2.87573797626227e-16	1.84625156339255	46.4315717754679	0.454315717754679	0
gene:Smp_321890	0.906644865575168	0.0933551344248316	1.11118752516612	1.1112941940153	610.285131616137	549.165128334862
gene:Smp_321910	0.964063306180157	0.0359366938198429	0.852350269700731	0.852296572710277	1234.70254459164	1448.67885330055
gene:Smp_321920	1	3.02531175228109e-17	1.21221284284813	1.26244471140555	2.79994036539568	2.21579281295196
gene:Smp_321930	2.4621501792943e-07	0.999999753784982	0.79336962939231	0.793221791915409	584.102709053375	736.370057893904
gene:Smp_321950	1	8.59602860187738e-17	1.73451076575727	2.68749175501853	1.08132341953327	0.396075076321765
gene:Smp_322000	0.994492822210143	0.00550717778985679	1.04969085617895	1.04975031136005	462.227517072181	440.320916857085
gene:Smp_322040	0.999999999999996	3.89245054489428e-15	0.780833087378622	0.779950898883117	102.077664619608	130.879860843543
gene:Smp_322070	0.85055099487278	0.14944900512722	2.58257282400174	4.95740990304131	1.73051238810516	0.34109309541609
gene:Smp_322080	0.919943171632527	0.0800568283674728	1.30520963387723	1.4279346400965	1.86096606479412	1.30026029641503
gene:Smp_322100	1	2.73303748511201e-16	0.584810300730775	0.571467511070911	9.35879813778138	16.3842795631978
gene:Smp_322130	1	6.54410480107966e-17	1.11321751481778	1.18505083498266	0.974049770062351	0.820386124386594
gene:Smp_322140	0.483376033523043	0.516623966476957	0.623108337905611	0.621282621463698	67.5616952598319	108.751605307159
gene:Smp_322150	1	1.16278120095766e-16	1.87006518431291	2.79792720468014	1.37228377191365	0.484038504504865
gene:Smp_322160	1	4.69753247990109e-17	1.27685158608153	1.44248562057072	1.26028548057496	0.870622629757907
gene:Smp_322170	0.880187450545865	0.119812549454135	0.702214947043595	0.697713982687334	24.3102006643231	34.8469775979704
gene:Smp_322190	1	2.27312452081522e-17	0.788104304534359	0.776677396754341	7.57798535944267	9.75980325570452
gene:Smp_322210	1	2.90875184019818e-16	0.276195589494669	0.00705766860231756	0	1.40689849204825
gene:Smp_322220	0.99498730732924	0.00501269267075977	0.960636312801268	0.960630702623926	3551.13210171982	3696.66770561571
gene:Smp_322230	0.967388759339222	0.0326112406607777	0.9029362922742	0.900901171584541	22.6279066723011	25.1180688563038
gene:Smp_322240	0.953101840601393	0.0468981593986073	0.934537708498308	0.934513346897658	1323.00052291483	1415.71137766345
gene:Smp_322250	0.999999999999999	5.08912948565239e-16	0.846905372257453	0.846593417487041	218.884884978648	258.549634952511
gene:Smp_322270	0.979019296664885	0.0209807033351145	1.12231615549638	1.12287852680504	128.662532778542	114.581676398566
gene:Smp_322280	0.949137002727676	0.0508629972723244	0.491128131521051	0.490473252294326	200.785956366657	409.382266402659
gene:Smp_322290	1	1.40306036312416e-16	2.86896104680758	5.0920744998468	2.24541143565188	0.432925851874269
gene:Smp_322330	0.890732967881398	0.109267032118602	0.759979984671411	0.757209458603764	34.5515852906463	45.6333618174491
gene:Smp_322340	0.999999999999999	8.64372836774268e-16	0.639743131200821	0.636040864143706	32.5978340682822	51.2568853630682
