	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.genes.results_Mean
gene:Smp_343220	1	1.35358394882017e-16	1.02477127733683	1.02489500094708	100.548916587364	98.1063109337445
gene:Smp_343240	0.667590287765885	0.332409712234115	0.804995638610499	0.804635940903528	213.762322835082	265.665831724639
gene:Smp_343250	0.875409522515372	0.124590477484628	1.22620138456573	1.22936765943557	43.0301545700157	34.9999941540486
gene:Smp_343260	0	1	0.645456094308596	0.645451511162116	24468.9382331516	37909.8063223695
gene:Smp_343270	0.768603911406907	0.231396088593093	1.06380482411509	1.06382096740772	2060.50288969333	1936.8881744309
gene:Smp_343280	0.351189296144201	0.648810703855799	0.833683693329101	0.833572126568365	608.949746455662	730.532357459356
gene:Smp_343290	0.99999999999999	1.03984218212435e-14	0.819049281541772	0.818496060495326	131.186909493003	160.28021497502
gene:Smp_343300	0.971715494719771	0.028284505280229	1.00713555396032	1.0071655465852	117.414703739458	116.579277837777
gene:Smp_343310	0.988790675639564	0.0112093243604362	0.995454642539372	0.995451901822594	809.029188719711	812.72558997519
gene:Smp_343320	0.0232821326254042	0.976717867374596	1.1888271011661	1.18892240519288	1154.37846883503	970.943582666942
gene:Smp_343330	0.823466876329297	0.176533123670703	0.812267799589151	0.811979559083672	259.153746531279	319.165210301782
gene:Smp_343340	1.28028462252905e-05	0.999987197153775	0.615779702139222	0.614739892489329	111.307450462416	181.070570534713
gene:Smp_343350	1.78911782244828e-06	0.999998210882178	1.18044116639284	1.1804806601811	2643.07483047096	2238.98037030007
gene:Smp_343360	0.999999999999991	9.03833839941405e-15	1.30451012688793	1.30673520253505	87.627492704062	67.055992049534
gene:Smp_343370	0.999999999999998	1.87614435372296e-15	1.11777293668895	1.19491480349907	0.884000362416022	0.738170798284628
gene:Smp_343380	0.985605029651781	0.0143949703482186	1.03524667929972	1.03526110930729	1239.20579774624	1196.99796891271
gene:Smp_343390	0.909885282709956	0.0901147172900436	1.49086957597246	1.49786628733814	51.4880277077995	34.3709244811276
gene:Smp_343400	0.958163906426914	0.0418360935730864	0.845224963421612	0.844679650236662	117.477683695919	139.081410173077
gene:Smp_343410	1	1.39745691525865e-16	0.954863478321006	0.954729131127977	157.180052470284	164.633611832154
