	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_173140	0.891861329372354	0.108138670627646	0.950666888230885	0.950633179268686	738.620091568639	776.977493889979
gene:Smp_173150	0	1	0.485729797547064	0.485119279338129	216.941259059618	447.202197700357
gene:Smp_173160	0.999999999999999	1.42560081193878e-15	0.982836991280287	0.948413833050575	0.241050730959425	0.25470589336716
gene:Smp_173180	0.943316540367464	0.0566834596325356	1.02887491295453	1.0289084725108	469.994609979168	456.789241658723
gene:Smp_173190	0.924618333046487	0.0753816669535128	0.94120777481302	0.941160001954333	614.916246833859	653.360569889238
gene:Smp_173200	0.999999999999998	1.51429631744779e-15	2.1033227769564	60.6798316362031	0.596798316362031	0
gene:Smp_173210	0.520492621136464	0.479507378863536	0.852903573364084	0.852804490640085	672.152940281119	788.169410003595
gene:Smp_173230	0.943842688784049	0.0561573112159508	1.02569380224246	1.0257067132949	1083.69438518543	1056.53410869968
gene:Smp_173240	0.736332669512829	0.263667330487171	1.27926490442457	1.2793983003661	1421.9926770688	1111.4520651457
gene:Smp_173250	0.999996747903628	3.25209637152507e-06	1.46387349789078	1.46507117255586	301.249202251565	205.617690923718
gene:Smp_173280	0.0100520357688515	0.989947964231149	0.865750599287688	0.865670122230478	766.669052498721	885.638046305794
gene:Smp_173310	0.999999999999997	2.81309806854816e-15	1.48180033928227	27.0610618498704	0.260610618498704	0
gene:Smp_173320	0.957118258731834	0.0428817412681659	0.807036749487866	0.806960560110214	1085.04909098927	1344.61468753253
gene:Smp_173330	0.280210645038855	0.719789354961145	1.24192371398485	1.24200909344872	1868.39359316798	1504.32970493721
gene:Smp_173340	0.883633714781841	0.116366285218159	1.0630717100059	1.06309426534428	1578.24776577768	1484.57873048907
gene:Smp_173360	0.827273871705822	0.172726128294178	1.06716246522036	1.15052872968976	0.48210146191885	0.417717665122143
gene:Smp_173380	0.290790784957974	0.709209215042026	1.21749305754827	1.21754444861463	2735.65865709885	2246.86374675447
gene:Smp_173410	0.906002620126302	0.0939973798736983	1.05608864749356	1.0561131592907	1283.00332990308	1214.83456340339
gene:Smp_173420	0.87011601047157	0.12988398952843	0.904350072420806	0.904181241011399	271.95172837656	300.772316687248
gene:Smp_173480	0.390259000240053	0.609740999759947	1.54384797964149	1.54441852493048	781.569749615524	506.057323720239
gene:Smp_173550	6.55991216945706e-05	0.999934400878305	0.818672367761883	0.818632931496746	1998.37114997647	2441.10991234305
gene:Smp_173580	0.000103281695118085	0.999896718304882	1.23279993450513	1.2329498973137	1016.15824113027	824.166427074813
gene:Smp_173610	0.889237394274683	0.110762605725317	1.05527892492005	1.05533962327539	510.255033870117	483.497889418991
gene:Smp_173620	0.901478815344861	0.0985211846551389	1.2180051589706	1.21806001496004	2569.98516105689	2109.8984852081
gene:Smp_173640	0.871908819490142	0.128091180509858	1.05311270593385	1.05320819343072	311.00909169344	295.296373073615
gene:Smp_173650	0.0177879946182196	0.98221200538178	0.80794971059082	0.807769162450648	456.163567324818	564.722585161901
gene:Smp_173700	0.992943273475976	0.00705672652402391	0.965496872060413	0.965467284532952	597.724409038468	619.104100098818
gene:Smp_173730	0.854663690202195	0.145336309797805	0.914215236996968	0.914151037913643	648.505239368971	709.40804195625
gene:Smp_173760	0.48608009021758	0.51391990978242	1.19482296824737	1.19522315494828	308.910978938399	258.453013922925
gene:Smp_173790	1.11755161092963e-05	0.999988824483891	0.727174733227073	0.727099366396251	1397.38441013415	1921.86543369775
gene:Smp_173810	0.999062652495075	0.000937347504924898	1.00833274232988	1.00834164549004	501.029968814927	496.885046491341
gene:Smp_173840	0.482961158212014	0.517038841787986	1.15615434922272	1.15619544908926	2332.19020470154	2017.12318153831
gene:Smp_173880	0.778342036188766	0.221657963811234	0.829434666741974	0.827839914353056	46.997241700409	56.7730094748988
gene:Smp_173900	0.856729741772643	0.143270258227357	0.879068087974155	0.879024686956484	1300.34813547716	1479.30924412668
gene:Smp_173910	0.702604247677052	0.297395752322948	0.787329296815329	0.787016018404927	283.639271716596	360.401052740042
gene:Smp_173920	0.849390288910218	0.150609711089782	0.814092296588892	0.813270948383028	97.7196249909364	120.158592257286
gene:Smp_173940	0.0706659900424953	0.929334009957505	1.37019694556599	1.37036514365833	1601.27623085692	1168.50062526453
gene:Smp_174060	0.203329236517556	0.796670763482444	0.629832443716625	0.626410785798593	35.9684037204607	57.4257985783927
gene:Smp_174090	0.0685550553383794	0.931444944661621	1.51272296174471	1.51463346963803	215.795436384832	142.470303460087
gene:Smp_174110	4.06971518829291e-05	0.999959302848117	0.757568930192011	0.757437721529581	742.998188533041	980.939545307302
gene:Smp_174130	0.0366274966217042	0.963372503378296	1.51616360403686	1.51711646518014	436.302427443065	287.58323193507
gene:Smp_174170	1	1.3085559119535e-17	0.988485772637999	0.98847729977287	713.15842710599	721.471846138358
gene:Smp_174190	0.874534467568294	0.125465532431706	0.964617151922568	0.964422814996385	93.2135924303946	96.6525747346551
gene:Smp_174220	0	1	1.45385839101008	1.45407122346828	1646.21460384875	1132.13853390891
gene:Smp_174230	3.47466500016935e-12	0.999999999996525	1.62218532710827	1.62237439702872	2834.44331310964	1747.09185164458
gene:Smp_174240	1.6259108504002e-09	0.999999998374089	1.58744619881361	1.58815137120078	702.39176514714	442.266333279279
gene:Smp_174260	0.842282624463257	0.157717375536743	0.870598231051797	0.870113840406599	123.39746842165	141.819106366108
gene:Smp_174300	0.00168759278255004	0.99831240721745	0.750693825720977	0.750353134022391	291.503105527057	388.491216706264
gene:Smp_174310	1.67998094324773e-08	0.999999983200191	1.44860938426638	1.44892455241913	1094.93599675142	755.685660566518
gene:Smp_174320	1	2.65056790834317e-17	1.02205821160676	1.0221523292904	127.174911378333	124.418529617134
gene:Smp_174350	1.97249327982263e-10	0.999999999802751	1.36737095958036	1.36775727448111	690.537085336296	504.865461618928
gene:Smp_174370	0.970663609084786	0.0293363909152138	0.978130466966215	0.978117322394943	863.972478525011	883.301703763236
gene:Smp_174380	3.47755158003338e-12	0.999999999996522	1.7330804544848	1.73423231384209	585.966717114382	337.878247403362
gene:Smp_174390	0.790112032393776	0.209887967606224	1.15963367005993	1.15970654268186	1348.7327111012	1162.99345084041
gene:Smp_174410	5.68475657658496e-08	0.999999943152434	1.60306511395992	1.6040268493748	533.989845569854	332.902036839028
gene:Smp_174420	1	1.1642639358394e-16	0.898295586437039	0.897955896379501	142.725786165526	158.946343781501
