	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_041890	0	1	0.531758344878795	0.531592489136903	596.879017083772	1122.82192347748
gene:Smp_041980	0	1	0.192569971603683	0.192543251118489	2313.99383492541	12018.0889023677
gene:Smp_042020	0	1	7.13891544212681	7.1467070099766	2239.47412982689	313.348883567024
gene:Smp_042030	0.999999999975077	2.49233280752264e-11	0.912572444846055	0.912526668504118	693.141283258734	759.585644908658
gene:Smp_042050	0	1	0.360369147272994	0.36014050754236	400.695121306917	1112.62552117859
gene:Smp_042060	0.00161636605855886	0.998383633941441	1.15069036019706	1.15074982279056	1159.82913117377	1007.88859637881
gene:Smp_042080	0	1	0.487774971405386	0.487496426988053	356.533883411769	731.367428988841
gene:Smp_042090	0	1	0.15329513567075	0.153282200078915	3990.35564946433	26032.7951620471
gene:Smp_042110	0	1	0.659505800139571	0.659419845781967	1038.90268654805	1575.48502520063
gene:Smp_042120	0	1	9.26239406500749	9.4651105555318	153.422631296863	16.2003369418322
gene:Smp_042140	0	1	0.631062286279519	0.631028126987492	2710.60679811763	4295.54622355223
gene:Smp_042150	0	1	16.9932367890383	17.1644496546582	637.673340189124	37.1414003081402
gene:Smp_042160	0	1	3.74039554205601	3.74052536752415	31402.2696020029	8395.14215553479
gene:Smp_042210	0.673427088295012	0.326572911704988	1.02507349460676	1.02510620869358	312.471381828884	304.818298939988
gene:Smp_042270	3.74881681253214e-10	0.999999999625118	0.76184602325537	0.761804378340671	1732.65475818815	2274.41215803769
gene:Smp_042280	0	1	0.194602791694912	0.194400407384599	307.67453368196	1582.72605401063
gene:Smp_042300	0	1	6.0734490146041	6.07581314034015	5185.74930230976	853.498688060056
gene:Smp_042340	0	1	31.2690534883115	31.659326827862	976.567803609127	30.83644878645
gene:Smp_042390	0	1	0.250190499251808	0.249993463576889	378.354117945433	1513.48604318379
gene:Smp_042400	0	1	0.161076940137405	0.161043664909104	1614.79449786695	10027.1121396904
gene:Smp_042420	0	1	0.531703751245878	0.53121505059623	202.442596206007	381.102312195929
gene:Smp_042430	1.31049193718979e-09	0.999999998689508	0.51044440637864	0.509484051826025	103.284269432327	202.732890699156
gene:Smp_042440	5.6915916424316e-11	0.999999999943084	1.3437265911639	1.34394456975203	842.850825902724	627.144456272134
gene:Smp_042530	0	1	3.12732727575155	3.14338114719911	165.653483129025	52.6923212812223
gene:Smp_042550	0	1	0.677562491533111	0.677520510562137	2069.6106136922	3054.68809611379
gene:Smp_042560	0	1	0.401566964073501	0.401409412712803	606.385780738099	1510.65657017323
gene:Smp_042590	3.4283153366621e-05	0.999965716846633	1.22223871081141	1.22229182209689	2034.14020528184	1664.19994439132
gene:Smp_042630	6.25667596110269e-06	0.999993743324039	0.767615924766776	0.767417472345835	357.391904006909	465.71031115529
gene:Smp_042670	0.356983159659291	0.643016840340709	1.08942897539201	1.08947224499827	895.533527298318	821.987560203788
