	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_042060.1	0.00234194828006484	0.997658051719935	1.15986381404459	1.15993281740783	1159.91894918682	999.986665133571
transcript:Smp_042080.1	0	1	0.492264360639617	0.491962058921147	356.644151476501	724.95271817918
transcript:Smp_042090.1	0	1	0.152369376816281	0.152354686811954	3794.53033760209	24905.953951641
transcript:Smp_042090.2	0	1	0.219341279631825	0.218965678239305	196.429449652487	897.11438603186
transcript:Smp_042110.1	0	1	0.664767784298228	0.664675210664132	1038.92064551797	1563.05513143448
transcript:Smp_042120.1	0	1	9.30091616814881	9.52325422225793	153.45743897184	16.1050207051234
transcript:Smp_042140.1	0	1	0.635943284119364	0.635906424574099	2710.99879841658	4263.20970285533
transcript:Smp_042150.1	0	1	17.0173369015259	17.2038100015539	637.838292899975	37.0659903092607
transcript:Smp_042160.1	0	1	3.76760786967801	3.76775116009203	31411.4607852447	8336.91817029813
transcript:Smp_042210.1	0.775568174565432	0.224431825434568	1.03391269310384	1.03396112584695	312.487152073731	302.222979811262
transcript:Smp_042270.1	5.26481582774352e-08	0.999999947351842	0.768227285628909	0.768138611687281	866.601663623813	1128.18698220902
transcript:Smp_042270.2	5.26481582774352e-08	0.999999947351842	0.768227285628909	0.768138611687281	866.601663623813	1128.18698220902
transcript:Smp_042280.1	0	1	0.196503737753753	0.196282576132004	307.79415965987	1568.15853398575
transcript:Smp_042300.1	0	1	6.12684013192882	6.12945490548891	5187.4670103428	846.309467282061
transcript:Smp_042340.1	0	1	31.501329116925	31.9316127393023	977.009973670241	30.5872636473728
transcript:Smp_042390.1	0	1	0.252207953745387	0.251992930879891	378.261127994134	1501.10801419712
transcript:Smp_042400.1	0	1	0.162319890414926	0.162283554155168	1614.83607701554	9950.75848927953
transcript:Smp_042420.1	0	1	0.536291213240019	0.535761539612553	202.444367346537	377.871487149948
transcript:Smp_042430.1	5.26332755157455e-09	0.999999994736672	0.450980425279736	0.44946415686437	70.2366220176608	156.279708411295
transcript:Smp_042430.2	0.999999999997875	2.12494550327637e-12	0.738039869318719	0.735522148733484	33.0225471187709	44.9003363857235
transcript:Smp_042440.1	0	1	1.35442227048435	1.35466812939711	842.910469764213	622.223926872813
transcript:Smp_042530.1	0	1	3.14470560323795	3.16237701972079	165.654177906883	52.3759669083699
transcript:Smp_042550.1	0	1	0.289990953259918	0.28984645762459	614.736112271837	2120.92712412403
transcript:Smp_042550.2	0	1	1.60038332026283	1.60066836975644	1455.20897131364	909.122084327413
transcript:Smp_042560.1	0	1	0.405153553999165	0.404982123973528	606.548195702235	1497.73066507163
transcript:Smp_042590.1	0.000194216170360639	0.999805783829639	1.23191456003207	1.23197517230396	2034.63220393375	1651.51857758383
transcript:Smp_042630.1	0.130732462742725	0.869267537257275	1.31767803097392	1.31952394671468	98.0092162441454	74.273772180256
transcript:Smp_042630.2	1.55431223447522e-15	0.999999999999998	0.627414550020815	0.626987404499011	236.052765293139	376.493201817527
transcript:Smp_042630.4	0.999999999486645	5.13355245656929e-10	2.11693975911124	2.1616062309612	23.321535684787	10.783610487703
transcript:Smp_042670.1	0.312675084808598	0.687324915191402	1.09844616201739	1.09849828640574	895.51113907306	815.213064209947
transcript:Smp_042680.1	0.0172622242457213	0.982737775754279	0.903822244894704	0.903811320203627	3434.47708686563	3799.9945032539
transcript:Smp_042700.1	0	1	0.0784650036925693	0.078372866263306	338.335272249105	4317.1126009826
transcript:Smp_042740.1	0	1	8.35725434656438	8.39166816662955	774.362334993387	92.2687126012406
transcript:Smp_042770.1	0	1	0.310811241167759	0.310521384766387	318.677804098076	1026.28905614337
transcript:Smp_042780.1	0.390262141618723	0.609737858381277	1.10534724210451	1.10542595423969	638.591265376481	577.687007137588
transcript:Smp_042790.1	0	1	0.364988086774522	0.364665569871196	309.905140181272	849.85125860672
transcript:Smp_042790.2	0.000202186497937129	0.999797813502063	0.24819385520567	0.243088181833391	15.4402435116884	63.5481845039168
transcript:Smp_042810.1	0	1	0.452840738724845	0.452094672099681	143.104675872521	316.549085308056
transcript:Smp_042910.1	0.0628632504550659	0.937136749544934	1.22157932651844	1.22168401194679	1116.13478468744	913.601681721876
transcript:Smp_042920.1	0.134177566659244	0.865822433340756	0.75933140370567	0.759050074016102	280.270526913581	369.241695649838
transcript:Smp_042920.2	0.372508342550789	0.627491657449211	1.00706882606767	1.00727022929987	15.2496825260712	15.1395418827954
transcript:Smp_042920.3	0.0424527456144546	0.957547254385545	0.210104571900461	0.207716057663909	29.6403946085802	142.734836109664
transcript:Smp_042980.1	0	1	0.332024882195316	0.331861084133485	584.142842913066	1760.22303376572
transcript:Smp_042990.1	0.660006141659078	0.339993858340922	1.06721409666539	1.06727133611073	540.941632302095	506.844830631348
transcript:Smp_043030.1	0.912477742665803	0.0875222573341974	0.987896234653941	0.987894805475365	3611.28810990975	3655.53924461013
transcript:Smp_043070.1	0.999964486326748	3.55136732517788e-05	0.732844081762041	0.732508508123153	251.704524414624	343.623584624937
transcript:Smp_043070.2	0.0185871980348399	0.98141280196516	4.34632702482996	5.05931525382713	10.2393518667971	2.0158377572032
transcript:Smp_043100.1	0.0364203617924904	0.96357963820751	0.883767626898063	0.883749827745915	2491.00172605642	2818.67425639185
transcript:Smp_043110.1	0	1	6.71179485529019	6.71898084826429	2305.1859942615	343.07715061407
transcript:Smp_043120.1	0	1	0.400192183906024	0.400174508736911	5861.59574015198	14647.6140044705
transcript:Smp_043130.1	0	1	0.406802340697563	0.406567298208776	442.888424796323	1089.35067103186
