	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_050540	0.999999999999903	9.66657446622478e-14	0.865536586993175	0.865429286829441	579.13041791995	669.184383335085
gene:Smp_050570	0.979328007850948	0.0206719921490523	1.06694680656805	1.06696738850797	1853.27941885673	1736.9591321572
gene:Smp_050590	0.803115247856823	0.196884752143177	0.878650948188647	0.878553834134486	586.224296323069	667.261911573413
gene:Smp_050700	0.00480558347256888	0.995194416527431	1.20435131950195	1.20448483335819	984.456594109755	817.32415552024
gene:Smp_050730	2.36211050719248e-11	0.999999999976379	1.33373321326793	1.33407572725603	694.134906577115	520.308968702665
gene:Smp_050740	0.981452886190234	0.0185471138097656	0.958826243478381	0.958795961906368	696.162417803094	726.080268902362
gene:Smp_050760	0.957879569477261	0.0421204305227387	0.923099314966685	0.923016812813183	459.423942088873	497.742517300963
gene:Smp_050820	1	6.35770319489029e-18	0.93862663455662	0.938565481040358	502.994214754454	535.918739033633
gene:Smp_050830	0.999999999977396	2.26042840461917e-11	1.16387247223379	1.16397905687211	955.653716424968	821.021710822243
gene:Smp_050880	0.999999999162837	8.37162547280717e-10	0.768605024018458	0.768285503942746	297.106626429785	386.716841655893
gene:Smp_050890	0.975320321294091	0.024679678705909	1.11199031411175	1.11206570487148	882.137752484739	793.241467625004
gene:Smp_050920	0.998010921784222	0.00198907821577848	1.06350415283928	1.06355014752547	784.143310544115	737.287919020165
gene:Smp_050940	0.993986270076351	0.00601372992364889	0.866214938109717	0.866209113055292	10623.7665172558	12264.6687676749
gene:Smp_051000	0.999877356830273	0.00012264316972701	1.31269408044827	1.31303778347779	637.903898381058	485.820572743644
gene:Smp_051010	0.984343331007096	0.0156566689929036	0.987845352177465	0.987829683569857	409.196561483933	414.238091842236
gene:Smp_051070	0.142115719236471	0.857884280763529	0.684248700419021	0.682864280370708	83.1587557477713	121.783975960525
gene:Smp_051080	0.994815644235647	0.0051843557643531	0.979829577606013	0.979824658859388	2145.63291824759	2189.81335139976
gene:Smp_051090	1	1.96790360923818e-17	0.732906606985778	0.72632919432271	15.7403459429892	21.6748586923125
gene:Smp_051120	0.00108256328035161	0.998917436719648	0.606207814859225	0.60464728246825	81.4688615890065	134.744366639008
gene:Smp_051130	1	5.9435574539382e-17	0.598599087597291	0.580830355992852	6.99680086851689	12.0534205774932
gene:Smp_051210	0.173892105559025	0.826107894440975	1.18339526559195	1.18342129642164	4452.32702173491	3762.24866071332
gene:Smp_051220	0.98342765871408	0.0165723412859196	1.02165804583161	1.02181296023735	76.2764510138211	74.6479403300002
gene:Smp_051230	0.04113261366068	0.95886738633932	1.11036996447693	1.11039846956229	2295.90577876191	2067.64034507562
gene:Smp_051260	0.998664346695721	0.00133565330427898	1.06435755882162	1.06436021875294	13752.0042918837	12920.4412246768
gene:Smp_051280	1	2.86696625699551e-17	1.07436723213481	1.07441357239112	920.743150325237	856.97205419733
gene:Smp_051290	0.952526396004856	0.0474736039951436	0.856622484543952	0.855627452686326	65.8281041334761	76.9371619064711
gene:Smp_051300	0.935927273393611	0.0640727266063894	1.11369316048051	1.11376815432197	901.669251793537	809.565357577408
gene:Smp_051320	0.745677707440667	0.254322292559333	1.19720970328726	1.19766829666808	275.023498125855	229.630793607879
gene:Smp_051360	0.228977748709011	0.771022251290989	1.41822194782926	1.41838732989675	1915.40016578487	1350.40404094064
gene:Smp_051390	0.956104226899607	0.0438957731003929	0.928768631858752	0.928708731512807	589.742818896814	635.014522636009
gene:Smp_051400	0.953358976576641	0.0466410234233589	1.1813905982565	1.18294258202262	73.821179328254	62.4031555075275
gene:Smp_051410	1	1.1159628132411e-16	1.57751423703006	1.60333079927019	19.1429626156428	11.9357336092844
gene:Smp_051420	0.975805738112916	0.0241942618870835	0.89488495170014	0.894787092332604	513.242107778582	573.59249401966
gene:Smp_051530	0.00688194503974948	0.993118054960251	1.35244622985523	1.35275365088147	828.173468639669	612.210464605668
gene:Smp_051550	0.510228074452038	0.489771925547962	0.604092774471813	0.603839592354267	504.222142760484	835.033195486023
gene:Smp_051640	0.953567269156887	0.0464327308431126	0.827267840575375	0.827104535265327	467.167415195144	564.824788440954
gene:Smp_051660	0.984423819665667	0.0155761803343334	0.779202573353068	0.778994750836697	441.95154286132	567.338550663044
gene:Smp_051670	1	4.14770692827581e-17	1.06690528764086	1.11586675506566	0.804267117071368	0.719717157872899
gene:Smp_051810	0.981525419893235	0.0184745801067648	1.02165669157031	1.02169356387127	320.440586321223	313.636476451328
gene:Smp_051920	0.981937594198425	0.0180624058015755	1.00291312072997	1.00293173193121	83.8208736273423	83.5758224028075
gene:Smp_051930	0.989028802064617	0.0109711979353831	0.987031109277962	0.987019747362744	601.614715979822	609.526655763298
