	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_001020.1	0.800123314459014	0.199876685540986	1.0560890287072	1.05628269182407	161.00385252358	152.424432344555
transcript:Smp_001030.1	0.660662400165226	0.339337599834774	1.13047710047565	1.1306088075483	589.497914152281	521.397502061314
transcript:Smp_001040.1	0.921909505740204	0.0780904942597961	1.06195486818135	1.06195825526655	10223.7074130106	9627.22097853266
transcript:Smp_001070.1	0.272107079353082	0.727892920646918	1.44326078690125	1.44688123464955	93.2256469921885	64.4290463843226
transcript:Smp_001080.1	0	1	0.603612683834833	0.603309137503811	414.644840963057	687.290780290997
transcript:Smp_001090.1	1.8534611570642e-05	0.999981465388429	1.35380495979881	1.35429662038135	512.927434962012	378.738220472983
transcript:Smp_001095.1	1	7.19488068756091e-17	0.930990476964956	0.930723474077519	126.599359278179	136.023271755251
transcript:Smp_001095.2	1	7.19488068756091e-17	0.930990476964956	0.930723474077519	126.599359278179	136.023271755251
transcript:Smp_001100.1	0.0253878488118314	0.974612151188169	1.45909620310475	1.45915800859718	5704.6665955236	3909.55740936372
transcript:Smp_001120.1	3.44946293751036e-13	0.999999999999655	0.58506473046536	0.584512060772496	230.962488978306	395.144359472156
transcript:Smp_001160.1	1	9.9201332978686e-17	0.910680620955682	0.910303667000275	113.516110353287	124.702350909658
transcript:Smp_001170.1	0.999999999999994	5.70642472878297e-15	1.55102556040348	1.562441820278	39.6820773497998	25.3938754177339
transcript:Smp_001170.2	0	1	1.74633047774766	1.74666233557874	2067.46438589602	1183.66147661141
transcript:Smp_001180.1	0	1	1.67227925106566	1.67270175114446	1400.84601911262	837.471050135898
transcript:Smp_001210.1	0.642601236475919	0.357398763524081	1.92376298001265	1.93500310548017	83.6895526379651	43.2455133378947
transcript:Smp_001210.2	0.813608745896344	0.186391254103656	0.867482606445005	0.866823137581992	91.6671620909099	105.75224620243
transcript:Smp_001360.1	0.714571318980421	0.285428681019579	0.915993137878703	0.915970095218032	1757.57164784004	1918.80990145287
transcript:Smp_001390.1	0	1	1.63125610760786	1.6319989981486	729.872125423975	447.221969046536
transcript:Smp_001410.1	0.244218695540565	0.755781304459435	1.37061084905556	1.37082654347587	1239.68199974935	904.329068753355
transcript:Smp_001420.1	0.0610569473774657	0.938943052622534	0.81400600017853	0.81386055448629	547.762400679813	673.044367434686
transcript:Smp_001420.2	0.0989612372563382	0.901038762743662	0.23602803955334	0.228628051953899	12.4130438693861	54.3273560821446
transcript:Smp_001500.1	0.529127346522871	0.470872653477129	0.916917273973095	0.916893879110924	1713.79496227961	1869.13211265258
transcript:Smp_001530.1	0	1	1.64498347962213	1.6455912941738	919.066272820615	558.498225021968
transcript:Smp_001560.1	0.519009484299784	0.480990515700216	0.803091301469373	0.802748242521962	242.498848809307	302.088261900178
transcript:Smp_001590.1	0.00336949701932521	0.996630502980675	0.742498382774738	0.742314049309803	545.767377502729	735.227839038865
transcript:Smp_001610.1	0.893464632851703	0.106535367148297	1.12802612551074	1.12829144594175	286.540571935551	253.958576085744
transcript:Smp_001640.1	0.584086547778191	0.415913452221809	0.888070353690926	0.887995611011436	699.895430642701	788.175686915166
transcript:Smp_001780.1	0.999999999999957	4.26063680828892e-14	1.59214598504074	1.60069173285077	58.3665592923169	36.4595825525071
transcript:Smp_001780.2	0.466846314255252	0.533153685744748	0.529882625327495	0.525805386940055	31.8993020186276	60.6765254924926
transcript:Smp_001780.3	0.00388573989919239	0.996114260100808	1.31647017411445	1.31704953404325	378.640484230346	287.489045740456
transcript:Smp_001830.1	1.499321222731e-09	0.999999998500679	0.601497931933526	0.601445777111868	2418.70484691155	4021.49108780574
transcript:Smp_001830.2	0.999999999999977	2.33489717235477e-14	0.668738257285578	0.666104955387896	44.0927195217653	66.1998655249949
transcript:Smp_001900.1	0.0158192566291914	0.984180743370809	2.68108107237543	2.75720614962252	32.036619667732	11.6128594920693
transcript:Smp_001940.1	0	1	0.592600238310243	0.592399265597429	632.03829318576	1066.91956911138
transcript:Smp_001950.1	0	1	0.471064968086884	0.470994716418064	1866.42898586692	3962.74992236446
transcript:Smp_001960.1	0.00179231626771625	0.998207683732284	0.836314267594766	0.83618624094943	562.675278517678	672.908604686426
transcript:Smp_001960.2	0.635633865044866	0.364366134955134	1.31205649241358	1.33117040902229	11.4285049996057	8.58281796085516
transcript:Smp_001980.1	0.00272481033163174	0.997275189668368	2.70946043068533	2.73830581951764	85.4015650883951	31.181390121444
transcript:Smp_002010.1	0.999999968164677	3.18353234141344e-08	0.679416108963371	0.678664858816055	152.417934014191	224.589715211577
