	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_197230	0	1	3.47555144677429	3.48911487549442	286.372626054124	82.068875667154
gene:Smp_197370	0	1	23.1735335981808	23.17848514829	46677.5032144146	2013.8193299059
gene:Smp_197390	0	1	2.04198717112102	2.04261998544447	1512.5150640001	740.472847900353
gene:Smp_197480	2.88420398675271e-11	0.999999999971158	0.710734290530484	0.710575064425917	580.515870884748	816.970358512527
gene:Smp_197540	0.107072839198044	0.892927160801956	0.891090592511341	0.891059354640087	1397.06438641808	1567.87027547545
gene:Smp_197640	0	1	13.0925739837975	13.1942276244947	705.833987742072	53.4864234232018
gene:Smp_197690	0	1	8.89427238163188	8.97923829990495	375.166632539685	41.7726791102823
gene:Smp_197700	0.212287262729416	0.787712737270584	0.640800813006542	0.61939613807576	4.66438127378751	7.53667487645164
gene:Smp_197730	0	1	0.275743284756024	0.275561831595458	494.614914375513	1794.95888778724
gene:Smp_197860	0	1	11.5546807327906	11.583096943039	1934.77435314243	167.025151536495
gene:Smp_197880	0	1	0.354173776527675	0.353040436713566	90.4609005187148	256.252147647741
gene:Smp_197950	0.999999999999886	1.13661442787968e-13	0.846254276671995	0.845143173623869	52.5805756868539	62.2168241975523
gene:Smp_198020	0.999999999999891	1.08651435603799e-13	1.09975904388344	1.10003518797341	178.701308521797	162.449628996993
gene:Smp_198170	0.999999960002769	3.9997230688246e-08	0.0648392015438317	0.00150597034802291	0	6.63023698283857
gene:Smp_198190	0.000206233318781335	0.999793766681219	0.643138700367583	0.642957775812268	570.303069005988	887.004809464734
gene:Smp_198290	0.752851900386812	0.247148099613188	1.02567798821736	1.02568839272741	1138.3607651704	1109.85023946645
gene:Smp_198330	0.668006782423899	0.331993217576101	0.936079742505332	0.9360564685018	1156.09798444633	1235.07359094695
gene:Smp_198360	0	1	5.47907794643784	5.52523929010273	241.086109193047	43.6254149629172
gene:Smp_198380	0	1	1.82597948124545	1.8265898149774	1111.64966760646	608.588415742408
gene:Smp_198420	0	1	0.571131937922788	0.571023989702172	1020.20452750077	1786.63039672462
gene:Smp_198520	0.836209261028144	0.163790738971856	0.930713800758216	0.930632916709565	358.491682399539	385.213513979166
gene:Smp_198530	3.30957483640759e-13	0.999999999999669	0.749776637492562	0.749742763603773	2490.59016822569	3321.92958932551
gene:Smp_198560	0.0796836502349335	0.920316349765066	2.6289144359746	2.65175699789878	85.0286029433525	32.0587766679738
gene:Smp_198590	0.421987384969899	0.578012615030101	1.40822774527229	1.4360487057467	9.46607525054837	6.5887143838698
gene:Smp_198660	0	1	10.8539704162198	11.2145739269753	137.803897001543	12.2788214834491
gene:Smp_198670	0.999999994389094	5.61090633933914e-09	0.802283157204738	0.802083477181547	357.145671025975	445.274912589136
gene:Smp_198680	0	1	3.17949077566774	3.18451063949328	621.767117561097	195.240444401101
gene:Smp_198730	0.000190380551497227	0.999809619448503	3.72071431795576	3.79482637702668	62.63910990798	16.4990846546362
gene:Smp_198750	0.00279347311521527	0.997206526884785	0.868929178591574	0.868860454725288	745.197813902782	857.674119296692
gene:Smp_198790	0	1	0.334309204562079	0.333328389232023	101.72878393745	305.210878941193
gene:Smp_198800	0	1	2.05116938814567	2.05253270140078	711.688523367568	346.731624570396
gene:Smp_198850	0	1	1.66886599607013	1.66913002881542	1901.50794723962	1139.21697118398
gene:Smp_198890	0	1	12.2409224665875	12.4410017346976	314.318778442536	25.2555521754235
gene:Smp_198920	0	1	0.322090976718631	0.321689582846	244.314267520472	759.493199820541
gene:Smp_198930	0	1	15.2344412661147	15.341100036908	920.713619444882	60.0067926178556
gene:Smp_198940	0.501097146615267	0.498902853384733	1.12760670023667	1.12795793762931	184.27694497741	163.371043591692
gene:Smp_198960	7.40518757424979e-14	0.999999999999926	0.0178642976682574	0.000395514334133587	0	25.2735337103672
gene:Smp_198980	0	1	4.09511601338621	4.09846772652182	1701.99386611946	415.268094080265
gene:Smp_199040	1.88051277882906e-08	0.999999981194872	0.679581865265115	0.679339655129373	404.138222610479	594.903339091787
gene:Smp_199050	0	1	2.39208764521219	2.39348407163772	1073.01043766939	448.298994567564
gene:Smp_199100	0	1	0.54585272045605	0.545340025419302	217.22705658257	398.341572334233
gene:Smp_199340	0.999999999996933	3.06745932955638e-12	1.43486391481869	20.990966335864	0.19990966335864	0
gene:Smp_199800	0.652745493838148	0.347254506161852	0.998180570561469	0.998173218232043	111.072361742917	111.275656350974
gene:Smp_200020	1.31055016605597e-06	0.999998689449834	3.28874085088634	3.29812676903207	361.663038828176	109.650138665416
gene:Smp_200060	0.000437182961808169	0.999562817038192	1.90302695542946	1.92201504539953	41.0959934082091	21.3769259278688
gene:Smp_200100	1.57573953885048e-12	0.999999999998424	0.286355286421155	0.282531354740686	23.7019632074326	83.9168378874126
gene:Smp_200110	0	1	9.50902546874599	9.67733112968166	220.011759501625	22.7257890882528
gene:Smp_200130	0.999999999997941	2.05931025655195e-12	1.57344955493249	27.3618349495635	0.263618349495635	0
gene:Smp_200150	0.999955044178497	4.4955821502621e-05	0.0447891316302435	0.00101894378190273	0	9.80408413065383
gene:Smp_200180	0	1	4.53868189901537	4.53997818213685	5573.44316472358	1227.62875532554
gene:Smp_200190	7.49842670400014e-07	0.99999925015733	0.863034265245726	0.863028135260962	8671.73348279592	10048.0326170275
gene:Smp_200230	0.999999999998891	1.10851353677718e-12	0.36195959540611	0.176681730143861	0.263618349495635	1.53865106467343
gene:Smp_200240	1.72961645006353e-12	0.99999999999827	11.3711859660281	11.405262597912	1561.00105899165	136.857612261503
gene:Smp_200300	0	1	1.81730187589339	1.81855238657016	534.492621708059	293.906538041637
gene:Smp_200310	0.999999999999074	9.2617822429293e-13	0.460952139346132	0.209642354489849	0.192220830152538	0.954599117600207
gene:Smp_200380	5.54939905332841e-05	0.999944506009467	0.575131623403635	0.5747822215376	314.302350011009	546.827285903159
gene:Smp_200410	0	1	0.24582338299587	0.245632015670293	435.32058416587	1772.2776351355
gene:Smp_200440	0.0109208108173774	0.989079189182623	6.05610715981402	6.06948623174836	1031.4945394639	169.939234593908
gene:Smp_200450	0.999999999983421	1.6578610951017e-11	1.97611423969728	2.02338338735538	18.7801388319061	9.27649456614609
gene:Smp_200460	0.999999999972298	2.7701996250702e-11	0.364710526711324	0.341650146832069	4.2226830155992	12.3789395477991
gene:Smp_200520	0	1	2.35189997881004	2.35741194261109	260.007522372265	110.287872710472
gene:Smp_200530	0.983666921038514	0.0163330789614861	2.18587074651404	2.19848415430065	92.941668744899	42.2698902430422
gene:Smp_200540	0.999999999997941	2.05931025655195e-12	1.57344955493249	27.3618349495635	0.263618349495635	0
gene:Smp_200570	0	1	9.29735838658242	9.53637421088238	148.866246447996	15.6014098666668
gene:Smp_200600	0.999999999997941	2.05931025655195e-12	1.57344955493249	27.3618349495635	0.263618349495635	0
gene:Smp_200610	0	1	2.48186294803574	2.48889639639066	235.807204738544	94.7376982491199
gene:Smp_200620	0.242007037246114	0.757992962753886	0.992920336746397	0.987560925181687	0.576662490457614	0.584051947073222
gene:Smp_200650	0.352946972042663	0.647053027957337	0.542910362487773	0.269234927091546	0.192220830152538	0.741094341053969
gene:Smp_200800	0	1	10.3634067566914	10.454268722276	484.46832685397	46.3326318688023
gene:Smp_200840	0.999999999998698	1.30159314438151e-12	0.440433671515726	0.0168335446912817	0	0.584051947073222
gene:Smp_200900	0.0367082460875179	0.963291753912482	1.26526252673981	1.26588201892869	243.749881618879	192.55129558201
gene:Smp_200910	0.999999999999704	2.95577922624423e-13	1.0358081076059	1.04722404342798	1.46719690120733	1.40058344723626
gene:Smp_200960	0.441541643722282	0.558458356277718	1.46432797548476	1.56901437446109	3.11961160548044	1.98463539430948
gene:Smp_200980	0.999999999999737	2.63434246765835e-13	1.19371897524856	1.24064246314835	2.29333681970072	1.84656777687231
gene:Smp_201030	0.000335686376460753	0.999664313623539	0.741721258648161	0.741696172652855	3434.08491516203	4630.04613589614
gene:Smp_201060	0	1	5.79273325525204	5.79457940454432	6764.9820533175	1167.45903977399
gene:Smp_201070	0.999999999998084	1.91613251648706e-12	1.60421033138452	28.7759270955494	0.277759270955494	0
gene:Smp_201130	0.0329188963628292	0.967081103637171	1.93683034572726	1.94118643960549	187.73133423878	96.7047361058911
gene:Smp_201210	3.19924087222034e-11	0.999999999968008	4.87775656008545	4.95630506845505	110.024673954963	22.1909485766505
gene:Smp_201220	0.735731792135058	0.264268207864942	0.942851130883851	0.942832298491298	1286.65511477986	1364.6707781604
gene:Smp_201230	6.63816113188886e-10	0.999999999336184	0.118251433921682	0.105735780418533	3.33997941126637	31.6725524718895
gene:Smp_201330	0.000645257936808918	0.999354742063191	0.399155244714987	0.386433125459603	8.19740929453654	21.228886507918
gene:Smp_201440	0	1	0.295062290613572	0.294939577955493	761.934548042118	2583.38200633527
gene:Smp_201470	0	1	0.280860256936918	0.280644930409989	421.494182501539	1501.90269047964
gene:Smp_201520	0.999999999993669	6.33130843123223e-12	6.49912115827066	253.798041423284	2.52798041423284	0
gene:Smp_201530	0.99999999999813	1.87036051131365e-12	1.83627675926672	39.4441660305076	0.384441660305076	0
gene:Smp_201600	0.0112324580005625	0.988767541999438	7.70731912959774	7.75450108199363	495.732160311324	63.9196010239091
gene:Smp_201700	0.0054465028759092	0.994553497124091	4.43070106646498	4.46021936294445	233.108498796137	52.2561510177925
gene:Smp_201730	0	1	8.70005556811093	8.948445076767	124.739013413901	13.9308592603188
gene:Smp_201810	0.00349291137049235	0.996507088629508	0.435352100701656	0.434919495694088	255.274226917125	586.958920557853
gene:Smp_201820	0	1	2.76457167153155	2.76765624621617	711.998359736873	257.250402447125
gene:Smp_201950	6.77956002448354e-09	0.99999999322044	5.80380933733319	6.16337900493961	37.0197278226911	5.99802381177822
gene:Smp_201970	0	1	1.40576783674077	1.40597640427714	1230.08278875309	874.892868220979
gene:Smp_202120	0.999999999999786	2.13775452531634e-13	0.913232762869026	0.900722752072525	2.79942957014537	3.10908360667141
gene:Smp_202130	0	1	5.13472550403344	5.14119502071444	1477.62733611795	287.401259476519
gene:Smp_202170	0.404137095151854	0.595862904848146	0.858021448944872	0.856214661199001	30.2470926649823	35.3282090218028
gene:Smp_202190	0.999999999754147	2.45853108924321e-10	12.402654289535	525.187154357525	5.24187154357525	0
gene:Smp_202200	0.999999999999446	5.53641867254629e-13	1.85209579674148	2.69245979165878	1.21771947317156	0.445984329636054
gene:Smp_202260	0	1	16.1218351282284	16.1502858963028	3860.27749467075	239.012858137419
gene:Smp_202350	0.999999999994166	5.83445672184542e-12	0.188069559832987	0.00501344758472105	0	1.98463539430948
gene:Smp_202370	0.999999999997941	2.05931025655195e-12	1.57344955493249	27.3618349495635	0.263618349495635	0
gene:Smp_202400	0.185676364363708	0.814323635636292	0.698819135102399	0.696110442586127	34.7976536550472	49.9930620510919
gene:Smp_202470	0.999999999999941	5.88226494034594e-14	1.09783820510261	1.09851396986918	71.5132842327081	65.0991257776408
gene:Smp_202580	0	1	0.422478669893607	0.421939148849261	203.103314916926	481.370586444442
gene:Smp_202610	0.123893064668956	0.876106935331044	1.84978808193053	1.85001797822201	3075.26212039701	1662.28310017439
gene:Smp_202630	0.999721164973889	0.000278835026111258	1.62287153053115	1.6255023004146	173.064123128752	106.46424066063
gene:Smp_202680	2.40282606500664e-06	0.999997597173935	0.691485412719896	0.691321200894338	584.080417959089	844.880070206832
gene:Smp_202690	0	1	0.128526339354398	0.128484940112143	1216.29651147967	9466.51977709343
gene:Smp_202720	0.999999999999284	7.1558869678247e-13	0.532852228507214	0.377969148909235	0.502667268700128	1.34637331824466
gene:Smp_202770	0.00081921472241997	0.99918078527758	0.307958237670486	0.307512534907827	214.71308222251	698.247982514016
gene:Smp_202850	0.999999996448985	3.55101531362926e-09	1.81102066625494	1.82283639371597	56.2562638790028	30.8574240173033
gene:Smp_202920	0	1	10.7479129218906	11.0650825103149	152.923874386847	13.81130447236
gene:Smp_202970	0	1	0.00885894212878051	0.00867628994122778	21.1625700162429	2440.26921607778
gene:Smp_202980	4.67403893367191e-14	0.999999999999953	0.496502068831336	0.49629523917761	543.307791393983	1094.73713538315
gene:Smp_203020	0.999999999995547	4.45280344810865e-12	3.72234114095428	5.78319433005051	3.42551785206933	0.584051947073222
gene:Smp_203030	0.148192197953755	0.851807802046245	1.88230445183764	1.88312357596277	912.161514624715	484.38280685993
gene:Smp_203090	0.65262018805362	0.347379811946381	1.38089219071014	1.40013042594715	12.4562049594724	8.89360264190339
gene:Smp_203130	0	1	12.7270383706102	12.7312842255203	15813.3567211626	1242.07732136104
gene:Smp_203170	1.78209469403612e-09	0.999999998217905	0.324698079982022	0.32339878145152	75.5786081106901	233.721889067187
gene:Smp_203190	6.09514569994696e-05	0.999939048543001	6.34951532720674	6.37218266486377	676.277049238669	106.121146077735
gene:Smp_203200	3.27536649580296e-07	0.99999967246335	0.091384265410887	0.0785889978328367	2.49969857131312	31.9244773507787
gene:Smp_203270	0.999981700527562	1.82994724385071e-05	7.28955910202477	8.4759128900234	20.197909941647	2.37415734138005
gene:Smp_203280	0.0271796902232831	0.972820309776717	0.688516544345378	0.688477377941638	2462.28392944417	3576.42403884346
gene:Smp_203310	6.46593889541691e-13	0.999999999999353	3.21398008543408	3.23215020245748	177.097296001736	54.7855029648923
gene:Smp_203330	0.999999999998112	1.88805231133766e-12	0.507575395679823	0.0219305782020657	0	0.445984329636054
gene:Smp_203390	0	1	0.454472935912851	0.454165292052007	362.15870637634	797.428097349957
gene:Smp_203400	0.999999999991063	8.9370252697601e-12	6.82497720854792	268.77784800058	2.6777784800058	0
gene:Smp_203410	0.978234439775078	0.0217655602249224	2.30927032993609	2.32541212887792	84.8115604580803	36.4659258820109
gene:Smp_203480	0	1	0.513162640898402	0.512951996830521	533.128838463906	1039.34425099837
gene:Smp_203500	0	1	11.5072124287806	12.6834384730599	50.9421670367543	4.00722034170612
gene:Smp_203580	0	1	130.173415794477	282.822280506836	107.617218608865	0.370547170526985
gene:Smp_203600	2.92804669399516e-11	0.99999999997072	1.60622960702496	1.60783120523177	273.676234203769	170.21075035813
gene:Smp_203630	0	1	0.518521137712006	0.518496700317341	4594.05622792312	8860.34769390889
gene:Smp_203680	0.198090331131926	0.801909668868074	0.96865010799283	0.961081540164128	1.78024104216931	1.85273585263492
gene:Smp_203720	0.999999999999845	1.55275561535908e-13	1.33465263180197	1.35296336544913	11.1099662363608	8.20897068341491
gene:Smp_203810	0.000634343524768655	0.999365656475231	0.726431429152015	0.726338039072208	956.816458785546	1317.31940767876
gene:Smp_203830	0.999999999991854	8.14587094517851e-12	0.402193552172345	0.374191356553743	3.58245381221538	9.59057935410759
gene:Smp_203950	0	1	3.14310660852807	3.14868187113108	544.287278633366	172.855122902315
gene:Smp_203970	3.43262313573511e-07	0.999999656737686	0.546855131876745	0.546605694880941	446.549448419807	816.958159318345
gene:Smp_203990	0.999999999999735	2.65412327540148e-13	1.14018525347818	1.17805734813314	1.95100350381772	1.65460784521679
gene:Smp_204010	0.99999999999704	2.95986552471882e-12	2.05714886222678	2.16626713528572	9.42799201456928	4.34679970435616
gene:Smp_204020	1.1872614003039e-11	0.999999999988127	0.157802797143328	0.151379120987079	8.91534613230642	58.9502190454539
gene:Smp_204060	0.148906551873272	0.851093448126728	2.20939971742337	3.63859079913833	1.37465543331761	0.370547170526985
gene:Smp_204070	1.95229811206232e-08	0.999999980477019	0.452188947272283	0.451805405311752	290.190569815814	642.303187057979
