	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean
transcript:Smp_342600.1	1	1.86278643219542e-16	1.08256964314961	1.08261107353023	1170.60160310845	1081.27545119279
transcript:Smp_342610.1	0.00443062167801533	0.995569378321985	1.17635721622507	1.17645092490888	1201.21977268165	1021.05237263972
transcript:Smp_342610.2	1	4.9140127789231e-18	0.920503508334496	0.919819267484893	57.9702845467002	63.0244314326428
transcript:Smp_342620.1	0.94805105226118	0.0519489477388196	1.09640052499362	1.09645977334213	967.899445690737	882.748737915615
transcript:Smp_342620.2	0.978109732763339	0.0218902672366615	1.05604647034567	1.05607664213666	1064.33270829079	1007.81714608421
transcript:Smp_342630.1	1	1.35135202104593e-18	1.02545561869915	1.02547762393374	643.599903584087	627.609646263169
transcript:Smp_342640.1	0.946589753978283	0.0534102460217165	0.867595943438994	0.867196007190961	155.753848195268	179.607810626021
transcript:Smp_342650.1	0.999999999999999	1.01863398925031e-15	0.533529785962408	0.521389301613869	10.8589826403175	20.8361942097287
transcript:Smp_342660.1	0.927919374178556	0.0720806258214441	1.71006971168898	1.76962009045879	11.4381516933607	6.45927086502088
transcript:Smp_342670.1	0.999999999952792	4.72080854535574e-11	1.4527621686435	1.45450805751385	204.63848868236	140.689453416683
transcript:Smp_342680.1	1	8.31059493754037e-18	0.88496596231893	0.884045841851447	59.9546541805905	67.8198017385695
transcript:Smp_342680.2	0.883843879430844	0.116156120569156	0.585186391500991	0.575135639397789	12.8684498090345	22.382021858564
transcript:Smp_342690.1	0.678413720582265	0.321586279417735	0.852768334795128	0.852645032871989	552.370724609402	647.833713753661
transcript:Smp_342700.1	0.972781658604905	0.0272183413950947	0.909386469891788	0.909345470772122	1090.3911519363	1199.09549618777
transcript:Smp_342710.1	0.319971987510017	0.680028012489983	1.12720958238098	1.1273005346024	855.421235882875	758.821571196394
transcript:Smp_342720.1	1	2.91445142876316e-18	0.956375518392903	0.956159270753394	104.642117287658	109.440507346123
transcript:Smp_342730.1	0.759908236182473	0.240091763817527	0.641363607898035	0.638156655726756	38.7093495037603	60.6637376415284
transcript:Smp_342730.2	0.990824736298088	0.00917526370191159	0.988898426805869	0.988852816171765	130.573692995164	132.045742633878
transcript:Smp_342740.1	0.959296972032812	0.0407030279671884	0.896825967758958	0.896755611362534	713.466699949366	795.610000487431
transcript:Smp_342740.2	0.999999999999955	4.50218478944203e-14	1.13155388535692	1.13164404031805	895.896659215927	791.675925341088
transcript:Smp_342750.1	0.983140321411629	0.0168596785883713	1.05266239436004	1.05272810269951	457.74721761193	434.819483926668
transcript:Smp_342760.1	0.657439688139657	0.342560311860343	0.673465567717468	0.672671074126451	149.986184954642	222.975929860937
transcript:Smp_342770.1	0.837710287088983	0.162289712911017	0.342419003486632	0.261546833246052	1.14382115567917	4.40152791398434
transcript:Smp_342780.1	0.871729523554289	0.128270476445711	0.445020619544461	0.365868579429512	1.38180606322849	3.79411476000124
transcript:Smp_342790.1	1	4.50375281200796e-18	1.09910847384089	1.09987534745044	77.1104116630248	70.1074108882367
transcript:Smp_342800.1	0.977171149240294	0.0228288507597064	0.907668048164374	0.907524585830326	316.882089971154	349.172925640761
transcript:Smp_342810.1	0.969477124836887	0.0305228751631131	0.880524761131552	0.88021775685562	185.839965116616	211.130895158174
transcript:Smp_342820.1	1	1.47906576256255e-17	0.817370468918071	0.816001712109727	59.0610454174171	72.380835142603
transcript:Smp_342830.1	0.571672292028378	0.428327707971622	0.847746750321682	0.84764334691111	677.138218908196	798.84982869539
transcript:Smp_342840.1	0.981076532659256	0.0189234673407437	0.949990917766094	0.949926966102755	403.009566477946	424.253739065548
transcript:Smp_342850.1	0.975797828385893	0.0242021716141074	0.928855868486658	0.928653312916516	176.954999559356	190.55088757556
transcript:Smp_342860.1	1	2.98725921542313e-17	1.04931728470613	1.07520521035279	1.10130211364025	1.02357210599418
transcript:Smp_342870.1	0.992213952343382	0.00778604765661779	0.961905335789281	0.961887558321114	1118.28767710761	1162.59748715733
transcript:Smp_342880.1	0.991758345303619	0.00824165469638081	1.0183269055552	1.01833583720453	1133.66189747483	1113.24935517198
transcript:Smp_342880.2	0.98474205335668	0.0152579466433202	0.964282875108597	0.964267974164212	1253.99514068138	1300.46370054813
transcript:Smp_342890.1	0.935487740242663	0.0645122597573374	0.905896342748986	0.905818590616468	594.794571768875	656.63866887317
transcript:Smp_342890.2	0.0054171237973607	0.994582876202639	0.58493133178497	0.58247710370034	53.436929943381	91.7479928959357
transcript:Smp_342900.1	1	4.3420472558322e-18	0.963394375319416	0.963017136705339	50.6896046335563	52.6366276675087
transcript:Smp_342910.1	1	1.4971014718487e-16	1.10773781594261	1.10785431572409	555.848928307824	501.733704400805
transcript:Smp_342910.2	1	6.24104385191833e-17	2.38697737588551	2.8728042983226	4.43972033448882	1.53891175047564
transcript:Smp_342920.1	0.900799514354736	0.0992004856452637	0.769714141014155	0.768779863715783	102.799287408788	133.72046337592
transcript:Smp_342930.1	1	1.73589078397014e-18	0.96449742543431	0.964474796108381	820.942423338189	851.181162952832
transcript:Smp_342940.1	1	5.39981247184893e-18	1.08799566958509	1.08889162305427	58.0128927597094	53.2761962855028
transcript:Smp_342950.1	0.941079941842664	0.0589200581573362	0.89932481961423	0.899265962107015	834.530816816955	928.014468825211
transcript:Smp_342950.2	0.957490710062749	0.0425092899372515	1.39384878042945	1.39787056092466	74.2606073759999	53.1212479510776
transcript:Smp_342960.1	1	7.35914629518034e-18	0.878386613820567	0.876816902257922	36.8460944404857	42.0239689455989
transcript:Smp_342970.1	0.763601028868002	0.236398971131998	6.25437468410382	6.30660635346171	344.198611625011	54.5690544602604
transcript:Smp_342970.2	0.985198410288008	0.0148015897119922	1.0621250435624	1.06213466729849	3719.97733214957	3502.35881130269
transcript:Smp_342970.3	0.984602568149661	0.0153974318503391	0.730499955668197	0.730353803917742	730.669613846552	1000.43609876345
