	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_154880.1	0.999999999997672	2.32835111019997e-12	0.474213125504798	0.463410436109387	11.0189240186617	23.7894726904648
transcript:Smp_154880.2	0.563032656624172	0.436967343375828	0.87052775922332	0.870282383633231	224.53065416671	257.998961676673
transcript:Smp_154880.3	0.178494313825711	0.821505686174289	0.453141222321914	0.419054107600423	3.27733929264026	7.83466548118126
transcript:Smp_154900.1	0.999999995802437	4.1975627958982e-09	0.158056282353745	0.114568271258517	1.07459440176173	9.45679556082673
transcript:Smp_154910.1	0	1	0.273119892681708	0.27295301095305	581.331553454347	2129.81282710317
transcript:Smp_154930.1	1.19137431142669e-07	0.999999880862569	0.654671729311284	0.654308643073794	304.284769203196	465.053043907976
transcript:Smp_154940.1	0	1	0.334718646810722	0.333184494306003	70.6398238298711	212.034152825986
transcript:Smp_154960.1	0	1	0.702272467548849	0.702222398816891	2041.80583271656	2907.63839765383
transcript:Smp_154970.1	0	1	9.19358192862566	9.23602381219995	871.863902963473	94.3892697173222
transcript:Smp_154980.1	0	1	0.369719431206753	0.369276816061338	257.11788287501	696.291180283952
transcript:Smp_154980.2	0	1	0.369719431206753	0.369276816061338	257.11788287501	696.291180283952
transcript:Smp_155000.1	0	1	1.65799033640408	1.65816107839241	3124.59685536605	1884.37077342605
transcript:Smp_155020.1	0	1	1.65644964084229	1.65708846918441	832.620697106904	502.456049695409
transcript:Smp_155020.2	0.0298372623692538	0.970162737630746	2.95827766587443	2.99053433407931	88.7654822697373	29.6754917390769
transcript:Smp_155030.1	8.32596214195291e-11	0.99999999991674	2.26424920438551	2.26739369721787	445.747335281929	196.584590444915
transcript:Smp_155040.1	0.999999999999944	5.63853465883811e-14	1.95979704399799	2.11285714089939	6.46853845984647	3.05624538613563
transcript:Smp_155050.1	0	1	43.7601747870353	43.9464302706377	4933.35775697038	112.248668715273
transcript:Smp_155050.2	0	1	14.4738819061327	14.6452624968263	563.002121342426	38.4332932809796
transcript:Smp_155060.1	1.55431223447522e-15	0.999999999999998	0.58653827965072	0.586531649872851	17886.1563436798	30494.7916830075
transcript:Smp_155060.2	0.739061531841563	0.260938468158437	0.886119160307447	0.885981700311001	358.902486609781	405.09146708876
