	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean
gene:Smp_340250	0.999999999999998	2.47087192446631e-15	0.937134602705878	0.937102033824591	828.198495956038	883.787565325809
gene:Smp_340260	0.995503186561091	0.00449681343890923	1.03589784646088	1.03590504673095	2364.73075349814	2282.76751996735
gene:Smp_340270	0.993751029568364	0.00624897043163612	0.945482891216902	0.94544078213228	560.438000976678	592.78016895451
gene:Smp_340280	0.998259295426763	0.00174070457323718	0.886718963833508	0.886036448049717	67.3248781333516	75.9856074962431
gene:Smp_340290	0.996943766620198	0.00305623337980178	1.054132598466	1.05414090429911	3145.6973520314	2984.13314367486
gene:Smp_340300	0.997252232593291	0.00274776740670948	1.01576488581188	1.01577047768331	1311.20290741009	1290.84549956187
gene:Smp_340310	0.354283497389037	0.645716502610963	0.907436154964184	0.907409443394365	1439.74715948676	1586.65759528205
gene:Smp_340320	0.997065660623833	0.00293433937616699	1.06943979061617	1.06970684492106	127.345460870289	119.046413890375
gene:Smp_340330	0.999999999999978	2.20593851974899e-14	3.5738712744302	121.424200606441	1.20424200606441	0
gene:Smp_340340	0.980479737050525	0.0195202629494751	1.16193461911504	1.16251911846445	147.458666607455	126.842680756118
gene:Smp_340350	0.994302348838314	0.00569765116168598	1.01479785138686	1.01483441015116	188.071602076546	185.322306625798
gene:Smp_340360	1	2.16159458827657e-16	0.974588139221033	0.974583308914347	2347.59328049875	2408.81771028975
gene:Smp_340370	0.996935233053086	0.0030647669469136	1.01863049361336	1.01863479316588	2020.97731018338	1984.00559002537
gene:Smp_340380	0.174903381512139	0.825096618487861	1.10886482646293	1.10889155212895	2068.18793487199	1865.09387864465
gene:Smp_340390	1	1.3332676806414e-16	1.00549252118379	1.00549664106842	613.767956541012	610.412682157172
gene:Smp_340400	0.999999999999997	3.2834342409463e-15	0.718870189698959	0.647204001402548	1.1524593217324	1.78612505363571
gene:Smp_340410	0.997076499368298	0.00292350063170181	0.978409525704815	0.978406721660348	3449.36722690538	3525.49442524742
gene:Smp_340420	0.995884239758978	0.00411576024102192	1.02769910526314	1.02770937244165	1269.47894260606	1235.2506453223
gene:Smp_340430	1	1.90560580169916e-16	1.02381691818413	1.0238339060376	657.224789081128	641.92497129308
gene:Smp_340440	0.877752299654373	0.122247700345627	0.857402117041975	0.857201883580264	279.503968583587	326.0671749779
gene:Smp_340450	0.999842947512524	0.000157052487476475	0.998742124952194	0.998741144672813	586.782497474186	587.522115407561
gene:Smp_340460	0.999999999999999	9.05513280129484e-16	0.881503422816346	0.880068158510659	33.2585756237003	37.7922716785945
gene:Smp_340470	0.987752815601449	0.0122471843985508	1.07421561518818	1.07430603863124	403.715560810341	375.791258014638
gene:Smp_340480	0.00712267827341562	0.992877321726584	1.50471411771596	1.50494759140099	1489.60099264383	989.799214058486
gene:Smp_340490	0.991903898374368	0.0080961016256321	0.94079154836469	0.940750599351689	622.804545581977	662.03001997042
gene:Smp_340500	0.997288998351331	0.00271100164866885	1.02103473458397	1.02104075226456	1634.15143816864	1600.47600855964
gene:Smp_340510	0.988805801374119	0.0111941986258808	1.05756603434864	1.05758257364054	1685.40814050584	1593.64158098632
gene:Smp_340520	1	3.41662959251154e-16	1.02800819753257	1.02801531177627	1853.09480645296	1802.59428538855
gene:Smp_340530	0.880059867350188	0.119940132649811	1.119891410748	1.11998894856933	630.326904556101	562.796361046054
