	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_064510.1	0.989409509546125	0.0105904904538745	0.949006970029731	0.948982121968801	1077.34918928428	1135.26869950716
transcript:Smp_064520.1	1	3.01386770279827e-18	0.894922696575851	0.894732156726817	272.950825633499	305.065461501313
transcript:Smp_064590.1	0.969485432349198	0.0305145676508023	1.19976408095711	1.2008529228148	121.868356113507	101.48315856918
transcript:Smp_064590.2	0.984348278069876	0.0156517219301244	1.05798342419214	1.05801889296321	956.821171623689	904.351139472549
transcript:Smp_064590.3	0.969485432349198	0.0305145676508023	1.19976408095711	1.2008529228148	121.868356113507	101.48315856918
transcript:Smp_064600.1	0.822811435499779	0.177188564500221	0.838344270392155	0.838128898144825	348.0037089624	415.216953434869
transcript:Smp_064640.1	0.988037867991128	0.0119621320088719	1.02258046076779	1.02261714508437	348.206712791115	340.505230421239
transcript:Smp_064650.1	0.990300830959851	0.00969916904014942	1.03514918264238	1.03519044605819	487.804251409133	471.221407966175
transcript:Smp_064750.1	0.97627183841998	0.02372816158002	0.63755068777928	0.636312852030157	103.061626305995	161.972625334606
transcript:Smp_064750.2	0.962328847448537	0.0376711525514631	1.66900692534628	1.67067917856152	369.737978744626	221.305967475566
transcript:Smp_064800.1	0.998256472614115	0.00174352738588547	0.943763486063705	0.943637932150173	233.807871030626	247.773459168337
transcript:Smp_064860.1	0.992220950318585	0.00777904968141542	1.02257394055338	1.02257727299384	3831.98812652086	3747.38222914836
transcript:Smp_064870.1	0.883430866183285	0.116569133816715	1.23675692909652	1.23692988727081	936.669173028176	757.251331193867
transcript:Smp_064950.1	0.996474626803487	0.00352537319651322	1.0108522369736	1.01085398027305	3481.11707087046	3443.73869051825
transcript:Smp_065060.1	0.841096355668775	0.158903644331225	1.32229279732757	1.32297570940935	345.389614722819	261.067820451462
transcript:Smp_065060.2	0.838550063423378	0.161449936576622	1.88441684338336	1.93150520932188	20.0588942071616	10.3802873832825
transcript:Smp_065120.1	1	9.89625437873589e-19	1.05843123265131	1.05852427952561	367.719319600165	347.388096305329
transcript:Smp_065130.1	0.988311553506716	0.0116884464932842	0.954867411028445	0.954803404179534	372.434815477255	390.064871797612
transcript:Smp_065130.2	0.944938929583709	0.0550610704162908	1.29067973734831	1.31276091303938	9.55009873844967	7.2724370709786
transcript:Smp_065130.3	0.940928183622938	0.0590718163770623	0.688105544066808	0.687132347503665	121.813663928117	177.282867044753
transcript:Smp_065130.4	0.941539252082077	0.0584607479179232	0.743217135838906	0.699191183700844	2.24599119211149	3.21657270958487
transcript:Smp_065150.1	0.979817800034755	0.0201821999652451	0.919146988074935	0.918750125924936	103.537140044268	112.694354668822
transcript:Smp_065160.1	0.990456018595832	0.00954398140416824	1.03515524601128	1.03548066847788	61.8726322874964	59.7522284715964
transcript:Smp_065160.2	0.999228485857848	0.000771514142152062	1.07493727734033	1.07519412207975	173.529479709284	161.392928220632
