	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean
transcript:Smp_301430.1	0.989400686416654	0.0105993135833462	0.873126322852662	0.873107788404586	3080.03173470144	3527.66639414779
transcript:Smp_301430.2	0.637116849214587	0.362883150785413	0.602553218759274	0.601940934873392	201.351715572389	334.510721065003
transcript:Smp_301530.1	1	1.07642953819285e-16	1.26250819574969	1.46924659356399	0.951420289612097	0.644362782819154
transcript:Smp_301530.2	1	1.91581605721564e-16	1.1097680932485	1.28651970277345	0.401742838948332	0.31004394340849
transcript:Smp_301550.1	0.990288020641527	0.0097119793584726	0.971724161016385	0.971649337184776	189.216512204431	194.737739706887
transcript:Smp_301560.1	0.97306633510614	0.0269336648938598	0.844360664575197	0.842234178511783	31.7577574558431	37.7084377769806
transcript:Smp_301560.2	1	5.31926840796077e-17	1.50931278509514	1.56582653853436	7.26228591390759	4.63437518137517
transcript:Smp_301560.3	1	5.0742448958524e-17	0.745003273808236	0.70851538079741	2.54171385298709	3.59149394373799
transcript:Smp_301570.1	0.926016526506542	0.0739834734934584	0.65834292232392	0.649647539051692	13.1445610227153	20.2387660338364
transcript:Smp_301570.2	0.987993281359609	0.0120067186403908	1.0803757360719	1.08091621653961	82.82881195491	76.6275882675769
transcript:Smp_301580.1	1	7.11474012601292e-18	0.96088546421468	0.960731897077827	126.096935715961	131.251318687898
transcript:Smp_301600.2	0.717278040878044	0.282721959121956	2.03136430469476	2.07411407349158	25.7774164813052	12.4229788852425
transcript:Smp_301610.1	0.990706141746934	0.00929385825306614	0.909942003557866	0.909788243721297	274.600135573175	301.829617590507
transcript:Smp_301620.1	0.00669033501988681	0.993309664980113	1.1355185176572	1.13552397123753	14541.5200225804	12805.9988478208
transcript:Smp_301660.1	0.937679509492793	0.0623204905072069	0.845188929270435	0.844954213684281	287.193766235771	339.894531611798
transcript:Smp_301670.1	1	6.90533326196267e-17	1.08232955648298	1.08239600322059	691.128621953759	638.516583521489
transcript:Smp_301730.1	0.983972468812173	0.0160275311878274	0.935792060525439	0.935774865852723	1800.7799789881	1924.37378578072
transcript:Smp_301740.1	0.924756634097009	0.0752433659029909	0.666261441721685	0.557704851629439	0.873591409389051	1.57433516726181
transcript:Smp_301780.1	0.999999999999985	1.50596000045579e-14	1.11612286881367	1.11619561568185	918.197080713621	822.612009810275
transcript:Smp_301790.1	1	4.98255379018951e-16	4.3404918898404	176.490596750876	1.75490596750876	0
transcript:Smp_301790.3	0.94549321584067	0.0545067841593297	2.65431207576564	3.95716598115276	2.57942214350441	0.644362782819154
transcript:Smp_301800.1	0.990767763733445	0.00923223626655507	0.98665725379124	0.986626085034703	217.648289605527	220.598691486067
transcript:Smp_301920.1	0.990268465951443	0.00973153404855726	0.934794673937004	0.934669355966535	250.615116688373	268.133076574071
transcript:Smp_301980.1	0	1	0.55054195553307	0.550410211154059	967.689274266269	1758.13193606123
transcript:Smp_301990.1	0.986537201398937	0.0134627986010635	0.893884552949011	0.89346367975472	116.081684925424	129.924419894152
transcript:Smp_301990.2	0.974478121015424	0.0255218789845762	0.927100517116632	0.92705741715935	808.063957755027	871.644703147831
transcript:Smp_302020.1	1	1.17453989221153e-16	1.02754433291318	1.04923687946043	0.676581564280214	0.644362782819154
transcript:Smp_302040.2	0.997166928829892	0.00283307117010796	0.979293843947141	0.979289828655521	2602.48859627526	2657.52663534754
transcript:Smp_302040.3	0.982471444438042	0.0175285555619582	0.891485860603313	0.891466094740998	2522.14785695312	2829.21465793374
transcript:Smp_302040.4	0.984461310902641	0.0155386890973591	0.851717119736381	0.851596815571779	540.920226817999	635.185220234364
transcript:Smp_302040.5	0.995788016171548	0.00421198382845186	0.958288027428841	0.958089608461831	103.785982367273	108.326403453862
transcript:Smp_302040.7	0.954433176415356	0.0455668235846439	0.767225177472824	0.766520561359607	130.488077181334	170.237327677505
transcript:Smp_302090.1	0.997834142744044	0.00216585725595631	0.98583485783656	0.985832127193819	2635.44673508774	2673.32216517258
transcript:Smp_302140.1	0.989891515960073	0.0101084840399271	1.01732139699706	1.01742705094309	85.9501854565337	84.4778120518363
transcript:Smp_302180.1	0.999999999626077	3.7392349497471e-10	24.1864314072124	1219.08428769134	12.1808428769134	0
transcript:Smp_302220.1	0.918935170085428	0.0810648299145722	0.58121120797078	0.522044983524112	1.89425888348412	3.63769118291157
transcript:Smp_302220.2	0.986022135742421	0.0139778642575787	1.39604842674745	1.41109507306308	19.1308722720702	13.5545518416565
transcript:Smp_302230.1	0.846734413900564	0.153265586099436	1.10707176337568	1.10709586944774	2534.13000551347	2288.98779634946
transcript:Smp_302270.1	0.985165692756003	0.0148343072439971	0.813684784751925	0.81318934617714	157.586676644703	193.790714908005
transcript:Smp_302280.1	0	1	9.32515469969305	9.33154490746925	6265.08633547346	671.378971236552
transcript:Smp_302290.1	0	1	0.443742748955357	0.443713001399865	4275.84949764564	9636.53318028946
transcript:Smp_302300.1	1	9.31287970351723e-17	1.56845153196201	1.97895666360369	1.40223836195383	0.703627735223943
transcript:Smp_302310.1	0.919207047189476	0.0807929528105245	0.451106529333559	0.385395700539958	1.64903235199129	4.29475054513299
transcript:Smp_302310.2	0.999999999999996	4.42514457267559e-15	7.67295849814028	351.559590488458	3.50559590488458	0
transcript:Smp_302320.1	0	1	2.42130577426477	2.42903931058682	230.049835012122	94.7022732882175
transcript:Smp_302330.1	0	1	1.54168863432831	1.54218640364098	864.868984081706	560.803519066047
transcript:Smp_302340.1	3.60119090883071e-05	0.999963988090912	2.43406834934553	2.44819128787709	128.101170713297	52.31890556701
transcript:Smp_302360.1	0.998482258892202	0.00151774110779823	1.01951293678031	1.01951536153037	4228.10024059378	4147.16659010753
transcript:Smp_302370.1	0.989763305652457	0.0102366943475433	0.928207823122442	0.928167441582894	850.37863949888	916.191755632183
