	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_179460	7.32804695591227e-07	0.999999267195304	0.633442126440761	0.633391355469713	2245.21481784068	3544.75706770913
gene:Smp_179490	0.484204209737406	0.515795790262594	1.41092500964474	1.41108529588357	1776.1423789699	1258.70368949228
gene:Smp_179560	4.44089209850063e-16	1	0.658129395326989	0.657928185451651	548.837360072568	834.195574725147
gene:Smp_179590	0.396600877508835	0.603399122491165	0.796505934997666	0.796426392261139	1000.3526822452	1256.0542037553
gene:Smp_179600	0.999999999999931	6.90558113673255e-14	0.280303938604027	0.00771435310366179	0	1.28628497239169
gene:Smp_179610	0.00106556460836382	0.998934435391636	1.20667897181101	1.20674023133557	1998.91768034406	1656.4589138869
gene:Smp_179620	0.999999999999212	7.8792176820083e-13	1.33467796238661	1.33639376653407	127.973641765486	95.7579128490776
gene:Smp_179650	0.941627219328634	0.0583727806713655	1.01725198779374	1.01725617093525	2059.80178270887	2024.8602751197
gene:Smp_179660	0	1	1.78245428071546	1.78288526157178	1589.21359968999	891.367383583813
gene:Smp_179710	0.646511458157845	0.353488541842155	1.22383586140194	1.22599424983172	62.4136438341641	50.9067509086871
gene:Smp_179720	7.09698966261385e-12	0.999999999992903	1.28691551971543	1.28713282503061	834.377284552826	648.242665402256
gene:Smp_179740	0.798809714771832	0.201190285228168	0.926167326895241	0.926004661378518	206.350650255852	222.840552338094
gene:Smp_179810	1.37713151993069e-09	0.999999998622868	0.287648884450661	0.287643380192294	18277.2167909139	63541.2638464391
gene:Smp_179890	5.94435628080703e-05	0.999940556437192	1.39314546712349	1.39424953989723	243.746778623209	174.82009436114
gene:Smp_179910	0	1	0.571564904430567	0.571461622840825	1163.8743132759	2036.66974673443
gene:Smp_179930	0.758665022231638	0.241334977768362	0.896054124650601	0.895955021445	461.378096597908	514.957923114912
gene:Smp_179940	0.999999999999999	1.09019218540387e-15	1.0756669197994	1.07651723093614	47.0237702515096	43.6806803717475
gene:Smp_179970	0.795304500829038	0.204695499170962	2.31791034414237	2.64286733388817	5.2525467441605	1.98122622489653
gene:Smp_180000	0.723000939417111	0.276999060582889	0.85474744150988	0.854739966132461	8154.26394172566	9540.05395491512
gene:Smp_180020	0.999999999999995	5.38805905474516e-15	1.15442099543347	1.15488118084028	190.260486823667	164.743301015112
gene:Smp_180030	0.999999999999945	5.52649034287965e-14	0.571563238934041	0.025938605396508	0	0.37552573845571
gene:Smp_180040	1.98528238182227e-06	0.999998014717618	0.706305611346136	0.706173301895659	769.610623885577	1089.83667335851
gene:Smp_180060	0.999701580141793	0.000298419858207291	0.781411315524086	0.781254257782565	533.842579155608	683.317577210065
gene:Smp_180070	1.11022302462516e-16	1	1.76186860736236	1.76274296022027	754.11433191854	427.802987450142
gene:Smp_180140	0.999999999997471	2.52903807430409e-12	0.187157275203092	0.118847372607588	0.684341401453173	5.83229492178812
gene:Smp_180150	0	1	1.65829164141752	1.6586270930671	1598.0673039153	963.48403105442
gene:Smp_180160	0	1	1.96765072916393	1.96857382260744	1013.16691806117	514.665602421241
gene:Smp_180170	0	1	0.657921250920577	0.657717439574086	541.988037871473	824.049094772448
gene:Smp_180180	3.63947820769539e-07	0.999999636052179	1.54899042335876	1.54977733670804	530.835061156317	342.519890315671
gene:Smp_180190	0.557952677674235	0.442047322325765	1.22168712176038	1.22207486462767	343.038147691036	280.699601040319
gene:Smp_180200	0.0027082451923458	0.997291754807654	1.20682790014937	1.20690935402416	1504.63015184696	1246.67861570265
gene:Smp_180240	2.70117261891301e-13	0.99999999999973	1.81772492530815	1.81795624283276	3155.30516741825	1735.62867659521
gene:Smp_180260	2.3355291034477e-09	0.999999997664471	0.0835600458579033	0.0738750244035036	3.42211384187761	46.4483784518498
gene:Smp_180350	0.999999938546869	6.14531307377261e-08	0.621413470499649	0.620057039593932	84.9588504952718	137.023926025446
gene:Smp_180360	0.999999999999529	4.70520499527672e-13	1.22153364779238	1.22199296352748	289.362795541811	236.793978565057
gene:Smp_180370	5.297370531121e-08	0.999999947026295	1.59511644350118	1.59646225525537	346.596663658987	217.099212897453
gene:Smp_180380	0.0111337643453581	0.988866235654642	0.584462476396309	0.583971968416952	242.884002283347	415.924352023422
gene:Smp_180390	0.99999999997437	2.56303268661647e-11	1.23483564366137	1.23522800947074	362.968256189455	293.845266725194
gene:Smp_180400	1.32705647927223e-05	0.999986729435207	1.40720944341353	1.40744970445332	1171.18171769498	832.127527891197
gene:Smp_180430	9.8383405263025e-05	0.999901616594737	0.611983939079182	0.610413649855818	74.0450890465129	121.309516796528
gene:Smp_180470	0.999999999967036	3.29639563746356e-11	1.16325445573503	1.16338671537151	705.044093865037	606.025881748818
gene:Smp_180480	0.003720764009982	0.996279235990018	0.81912627086993	0.819015044289216	653.902147341927	798.402864209871
gene:Smp_180500	0.175863443656999	0.824136556343001	0.778098267454737	0.777515072703725	145.240127781234	186.803263022854
gene:Smp_180520	7.5343736472e-08	0.999999924656264	1.86456142614821	1.8656872771657	703.409493882278	377.019689000663
gene:Smp_180540	2.10640060294143e-06	0.999997893599397	0.66587114373105	0.665735252246368	803.671395021563	1207.19870993346
gene:Smp_180570	0.726441074156808	0.273558925843192	0.884314732428144	0.883758241925902	90.1916320744026	102.055958533901
gene:Smp_180580	0.999999999999993	6.81385772123883e-15	0.868221981705653	0.867932562286789	194.016882985678	223.540643698013
gene:Smp_180590	0.0104151264943365	0.989584873505663	0.476395985792573	0.469538729897885	17.592917412727	37.4798092358755
gene:Smp_180620	0.536430946075138	0.463569053924862	0.630610601778825	0.629309480390314	87.7085622083198	139.378591689282
gene:Smp_180660	0.536524222932867	0.463475777067133	0.856542789546479	0.817921931011156	1.48167060159488	1.81373224758847
gene:Smp_180680	0.999999999999955	4.50193055358628e-14	0.87327973379668	0.873128246198185	358.587826966598	410.694645655459
gene:Smp_180690	0	1	2.5444267842731	2.54566816903216	1554.96470081638	610.821655017931
gene:Smp_180740	0.000426474114344488	0.999573525885656	0.864357516818534	0.864331733359529	2232.51139391969	2582.93507508386
gene:Smp_180780	0.999999999999995	4.88558558802836e-15	0.874839028310648	0.852277223690971	2.31132845075597	2.71367767931537
gene:Smp_180790	1.26592062610342e-07	0.999999873407937	1.34472985371486	1.34526467121742	425.727239803352	316.460988135052
gene:Smp_180800	4.44932477527971e-08	0.999999955506752	0.644798312602009	0.644166665736558	177.842322908145	276.08675006201
gene:Smp_180810	0	1	4.43984020037652	4.44120913203534	5479.20502405286	1233.71146214196
gene:Smp_180890	1.23317382860755e-07	0.999999876682617	0.271373976745552	0.27081536077579	173.420407598244	640.390925196514
gene:Smp_180900	0	1	2.14909184771658	2.15513945107787	201.041556845713	93.2793492090081
gene:Smp_180910	0	1	2.12601878220474	2.12675295147007	1601.49057493375	753.016144304515
gene:Smp_181000	5.90721249693615e-09	0.999999994092788	0.732994124307458	0.73269991696599	326.468115403788	445.572301627233
gene:Smp_181040	0.999999999999991	8.66242889952691e-15	1.26067674849173	1.26291283000067	72.2750789872889	57.2267920177441
gene:Smp_181050	0	1	1.427181121387	1.42724819722335	4462.7761615096	3126.83659205858
gene:Smp_181060	2.09734294398523e-06	0.999997902657056	0.462002162759477	0.461452105273336	221.584869663657	480.202067799317
gene:Smp_181070	0.312081577794031	0.687918422205969	0.609003505096174	0.608970806029776	3575.14276501672	5870.80142415538
gene:Smp_181080	2.04496933831066e-08	0.999999979550307	1.52623286389229	1.52662040717728	1017.75950412859	666.671448344088
gene:Smp_181090	0.0616729088555931	0.938327091144407	1.30737088044271	1.30853972242446	168.938542525207	129.102276555257
gene:Smp_181120	0.838984670725283	0.161015329274717	0.935181932097833	0.93514559623018	819.021111467342	875.822720347584
gene:Smp_181130	0.576241645256946	0.423758354743054	0.820984306176983	0.820758354630626	319.255300794187	388.978182688521
gene:Smp_181150	0.938633777371654	0.0613662226283463	0.934667031696218	0.934559107942718	277.758339619283	297.208589234816
gene:Smp_181160	0.558677566064295	0.441322433935705	0.85455419336929	0.854234039522856	190.527285377981	223.040448193809
gene:Smp_181170	0.849652034404201	0.150347965595799	0.920954752985176	0.920883964850943	504.861465284586	548.236559343995
gene:Smp_181180	0.542570959760815	0.457429040239185	0.799033352996698	0.79819376216684	93.7948404828765	117.511390079805
gene:Smp_181230	0.915730174601222	0.0842698253987777	0.913088248087209	0.912708905928226	102.659228966508	112.478470639052
gene:Smp_181240	7.30668836546045e-09	0.999999992693312	1.61331851754977	1.61527546513474	248.540190175844	153.864800639723
gene:Smp_181250	1.0100851836059e-06	0.999998989914816	1.87372579694497	1.88188448195351	98.9383537602907	52.5693983154462
gene:Smp_181270	0.81619665161249	0.18380334838751	1.10226825065087	1.1024226802774	358.432060453988	325.130317653657
gene:Smp_181290	0.999999994597535	5.40246478105704e-09	0.777661452787688	0.777384382355817	306.271674645795	393.980002368747
gene:Smp_181390	0.0713268537720704	0.92867314622793	1.65322053866374	1.66025108796755	75.7264538061087	45.6074697640609
gene:Smp_181410	0.549033654248408	0.450966345751592	0.879990574531016	0.879796858125927	267.593618733234	304.155235715051
gene:Smp_181440	0.491788448695998	0.508211551304002	0.797410184442759	0.796492440478136	86.3153503929728	108.371882872801
gene:Smp_181450	0.996747530999095	0.00325246900090499	1.8012082813103	1.8056249105332	160.810958116683	89.0566478838025
gene:Smp_181460	0.760703529407169	0.239296470592831	1.08144500171365	1.08151456429195	621.691275159785	574.833183519034
gene:Smp_181470	1.01337576108307e-08	0.999999989866242	0.426393446397264	0.425863490565128	226.30089272707	531.406516655963
gene:Smp_181480	0.580817370964152	0.419182629035848	0.879355989696094	0.879167568866731	276.371603950264	314.357378572126
gene:Smp_181490	0.626526832044025	0.373473167955975	0.855419453174859	0.855337432277662	740.248572827719	865.447940799455
gene:Smp_181730	0.999999999999958	4.16293259757511e-14	0.5249072031641	0.0215780893125402	0	0.453433061897119
gene:Smp_181870	0.455582451654362	0.544417548345638	0.646965747772148	0.64399384934175	37.5499685782661	58.3134896057743
gene:Smp_182620	1.32116539930394e-13	0.999999999999868	1.91282217275235	1.91352436514739	1221.29651897801	638.239787263063
gene:Smp_183710	6.35397667814175e-09	0.999999993646023	1.87924716124052	1.87929809246572	15928.7930925658	8475.92213467613
gene:Smp_184350	0.0127738075338049	0.987226192466195	1.5093485761114	1.51141172242356	183.191267637035	121.202019808388
