	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_344810.1	3.72521236080559e-10	0.999999999627479	0.684835237568842	0.684735122030458	1236.16752309376	1805.32681320173
transcript:Smp_344820.3	0.000407109705040765	0.999592890294959	0.480343236742455	0.480185551192277	907.509248055676	1889.9245176096
transcript:Smp_344830.1	1	4.02590582189052e-17	1.39569431025786	2.24983551010622	0.587727136116663	0.255675927609678
transcript:Smp_344840.1	1	3.4189953316553e-17	2.4374269625357	3.3776618156438	2.95133593072393	0.866741394596808
transcript:Smp_344840.2	0.999999999999982	1.82109372933698e-14	0.63527562703886	0.631755390956456	37.5273857654036	59.4075946936888
transcript:Smp_344840.3	0.996412379542083	0.00358762045791755	0.0224102461812077	0.000392726032880069	0	25.4530433502579
transcript:Smp_344850.1	0.00058466003197255	0.999415339968027	0.183405182565511	0.155965771074108	2.65184764428205	17.0568706726507
transcript:Smp_344850.2	1	1.59725765424892e-16	0.504657905601367	0.0171610750112139	0	0.572714077845678
transcript:Smp_344870.1	0.000161390853846366	0.999838609146154	1.82663964628579	1.82716412872367	1651.51408375021	903.862869321186
transcript:Smp_344870.2	0.000105111482585629	0.999894888517414	2.10747695208268	2.11437622141103	194.631720448232	92.0463324905053
transcript:Smp_344870.3	1.47072909406631e-10	0.999999999852927	0.0480591696433355	0.0471549914835953	28.4611942161458	603.769013003334
transcript:Smp_344880.1	0.964668978952872	0.0353310210471282	1.00058252642769	1.00058577215336	102.976480667532	102.916189371947
transcript:Smp_344880.2	1	1.37895533811546e-16	0.361170291942265	0.00959642364925925	0	1.0320548701778
transcript:Smp_344890.1	0.999999999999996	3.99735549611616e-15	0.613285709305831	0.609242984500391	33.4117087174158	54.8477654034428
transcript:Smp_344900.1	0.883291162865828	0.116708837134172	1.06983945011064	1.07022378337543	111.519435723717	104.201322394611
transcript:Smp_344900.2	0.497383021167407	0.502616978832593	0.49592143705619	0.492387516406294	40.2682449999402	81.7919215716764
transcript:Smp_344910.1	0.991477346793614	0.0085226532063864	0.829405993465277	0.819544295217492	8.12029982806565	9.91051299180603
transcript:Smp_344920.1	1	1.81621272326533e-18	0.923773027868642	0.923569370203271	198.233748214186	214.639548382656
transcript:Smp_344920.2	0.00546390130381424	0.994536098696186	2.42103533752833	2.46803412277165	42.7848467522265	17.3296495442968
transcript:Smp_344920.3	2.43004291421434e-05	0.999975699570858	5.2611611727168	6.1232080746796	17.3479388511093	2.82477854082519
transcript:Smp_344930.1	6.38045172252077e-13	0.999999999999362	0.375205872360774	0.372793388338961	55.3585009450403	148.513291123116
transcript:Smp_344930.2	0.999999999999999	6.59257297249365e-16	5.39250114580163	257.295857613951	2.56295857613951	0
transcript:Smp_344940.1	1	2.2902966241707e-17	0.559723853643445	0.538374308483647	6.35711841971566	11.8165643798065
transcript:Smp_344950.1	0.847135672846452	0.152864327153548	1.3364702933763	1.33698289223695	503.278504917435	376.426009645094
transcript:Smp_344960.1	0.279312230825509	0.720687769174491	1.57068809086091	1.58578368197456	34.3706989346161	21.6705730349089
transcript:Smp_344960.2	9.79979097870398e-10	0.999999999020021	1.38573947230844	1.38638797293251	472.913109736591	341.108877954673
transcript:Smp_344960.3	0.672121472599876	0.327878527400124	0.765234291688718	0.76312411516192	48.679254127698	63.7925363899909
transcript:Smp_344970.1	0.00219370353296233	0.997806296467038	1.31499642428146	1.31598916034035	239.457295731937	181.95752902585
