	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_337770.1	0.961949849683788	0.0380501503162122	0.837969248699501	0.837865304847801	759.666858715298	906.671365512914
transcript:Smp_337780.1	1	2.1350330111412e-18	0.707811156153897	0.700304937068615	15.8457077398536	22.6311480207802
transcript:Smp_337780.2	1	1.85718810398343e-19	0.942836794968213	0.942456406549218	82.3671202348513	87.396822917649
transcript:Smp_337780.3	0.96662356721154	0.0333764327884602	0.945077239282473	0.944836077648786	125.147436728412	132.454709687912
transcript:Smp_337790.1	0.30137885075393	0.69862114924607	0.751122344897705	0.750579217620551	200.039226733756	266.516466543988
transcript:Smp_337790.2	0.747511885749189	0.252488114250811	2.16511412435612	2.27588178849117	13.913910415905	6.10802883889502
transcript:Smp_337790.3	0.93761208432491	0.0623879156750897	1.1595424619665	1.15968099943797	776.779997171997	669.820753067835
transcript:Smp_337800.1	0.978714235517869	0.021285764482131	0.791385627881367	0.790494500587771	107.626454188398	136.15344466453
transcript:Smp_337800.2	0.967677619755311	0.0323223802446894	1.40646300009403	1.40692085512099	726.46178049759	516.345826167005
transcript:Smp_337800.3	0.933283536933588	0.0667164630664119	0.864496923888618	0.864378987900365	577.63770876041	668.270600114488
transcript:Smp_337830.1	0.908576495014374	0.0914235049856263	0.855776419400557	0.855621932912986	464.594843681757	542.99249422078
transcript:Smp_337830.3	0.0200011134534069	0.979998886546593	0.63605855343837	0.635231222523651	162.52247561249	255.853486946972
transcript:Smp_337840.1	0.764894157092019	0.235105842907981	1.57626055590096	1.58156180387731	99.9860838645593	63.2161626573249
transcript:Smp_337850.1	0.0665391670515751	0.933460832948425	0.469497713339654	0.463381266613678	23.3666667245054	50.4380185298353
transcript:Smp_337850.2	0.00405645577923708	0.995943544220763	1.25543664243607	1.25572291694138	651.694011789634	518.977113317177
transcript:Smp_337860.1	0.713997775742056	0.286002224257944	0.895620073218129	0.895582496934767	1446.97761194681	1615.68438538526
transcript:Smp_337860.2	0.763429242928252	0.236570757071748	1.91921983588998	1.92710839761898	130.602202556222	67.7662614275352
transcript:Smp_337860.3	0.972067428900355	0.0279325710996452	0.866007339067718	0.865813770693736	348.589812294714	402.616781987305
transcript:Smp_337870.1	0.960990426566652	0.0390095734333481	1.56907261564826	1.57077170385263	305.989616264566	194.798459761556
transcript:Smp_337870.2	0.912370645196017	0.0876293548039833	1.82935138741925	1.89947874824602	13.0559673799623	6.8687120635213
transcript:Smp_337870.3	0.978816072094023	0.0211839279059771	1.10806275247465	1.10815689614966	739.837450067924	667.62781612383
transcript:Smp_337870.4	0.977415750140401	0.0225842498595994	0.902481637032452	0.901665901553926	62.6858431365001	69.5233415940986
transcript:Smp_337880.1	1	2.90456925470514e-17	0.211526449663693	0.00451391588186748	0	2.20537136750161
transcript:Smp_337890.1	0.740556220588703	0.259443779411297	2.19797954038568	2.31281190466198	14.0239995632295	6.05793813839373
transcript:Smp_337900.1	0.000324080407050675	0.999675919592949	2.95835474644862	3.05549249678737	35.8194874411279	11.7162560712553
transcript:Smp_340010.1	0.999577048606682	0.000422951393317696	0.90031396202398	0.900312774609098	43962.3815659222	48830.1219338826
transcript:Smp_340020.1	0.989084459840266	0.0109155401597336	1.01005962451957	1.01007127179387	507.407611110175	502.348224889425
transcript:Smp_340030.1	0.977753470405526	0.0222465295944742	0.956095549628657	0.956061531741833	717.690265804787	750.674178765378
transcript:Smp_340040.1	8.78449518793012e-07	0.999999121550481	0.487459624754219	0.483833614392243	39.7687497901512	82.205763036883
transcript:Smp_340050.1	0.975873598483169	0.024126401516831	0.944773670390963	0.944756490504009	1766.44188738515	1869.73305563414
transcript:Smp_340060.1	0.967049711190598	0.0329502888094018	1.40916480882383	1.41130022090921	157.276713321226	111.43808949289
transcript:Smp_340070.1	0.956298408033633	0.0437015919663671	1.09742797543996	1.09755650818336	483.886900373219	440.875637108698
transcript:Smp_340080.1	1	3.15552327142757e-18	0.478346035744447	0.359419111968664	0.906979324762922	2.54128148233494
transcript:Smp_340090.1	1	1.13290494670161e-19	0.952883208520408	0.952846021935646	702.201907465136	736.952627013583
transcript:Smp_340100.1	0.851384662083596	0.148615337916404	0.824779958865461	0.824081496421143	120.234973612608	145.903934647014
transcript:Smp_340100.2	0.927759907894685	0.0722400921053151	0.746154092413711	0.739297028828993	15.9086780926234	21.5221818861328
transcript:Smp_340100.3	0.770946443884833	0.229053556115167	0.337368343070251	0.26766034970355	1.4698908677951	5.51898802319493
transcript:Smp_340100.5	0.939681979153962	0.0603180208460376	1.064114810849	1.06624120626308	18.6893215995702	17.5276092104964
transcript:Smp_340110.1	0.857074597989282	0.142925402010718	0.676087315018086	0.675895951676548	665.42418131002	984.511625938759
transcript:Smp_340120.1	0.969398982121112	0.0306010178788879	1.13904956255452	1.13909995663146	1828.12396560945	1604.88336775642
transcript:Smp_340130.1	0.0877449979725281	0.912255002027472	0.646277147541966	0.644904745318674	96.6692623820857	149.902468599239
transcript:Smp_340130.2	0.993585954757904	0.00641404524209611	1.02156679514712	1.02158077728727	916.507422168622	897.146096263253
transcript:Smp_340140.1	0.625217400823773	0.374782599176227	0.417642813993653	0.396921640864665	6.47837478139096	16.3367397929135
